,Item_id,POI_Type,L2_Category_name,stars,clusters
5647,33,1,55,1.0,6
5649,33,1,246,1.0,6
5651,33,1,36,1.0,6
5656,33,1,210,1.0,6
5658,33,1,118,1.0,6
5661,33,1,42,1.0,6
5662,33,1,78,1.0,6
5666,33,1,160,1.0,6
5670,33,1,138,1.0,6
5674,33,1,219,1.0,6
5687,33,1,130,1.0,6
5692,33,1,80,1.0,6
5693,33,1,237,1.0,6
5696,33,1,231,1.0,6
5705,33,1,85,1.0,6
5714,33,1,157,1.0,6
5752,33,1,5,1.0,6
5798,33,1,227,1.0,6
5809,33,1,151,1.0,6
5997,34,0,39,1.0,5
6042,35,0,243,1.0,5
6306,36,0,183,1.0,5
6319,37,0,71,1.0,0
6346,38,0,252,1.0,0
6410,39,0,238,1.0,6
6413,40,1,114,1.0,6
6414,40,1,191,1.0,6
6416,40,1,55,1.0,6
6419,40,1,108,1.0,6
6423,40,1,142,1.0,6
6424,40,1,138,1.0,6
6428,40,1,93,1.0,6
6430,40,1,98,1.0,6
6457,40,1,237,1.0,6
6531,40,1,231,1.0,6
6740,40,1,42,1.0,6
7104,41,0,28,1.0,0
7110,42,0,22,1.0,5
7131,43,0,208,1.0,5
7140,44,1,87,1.0,0
7141,44,1,50,1.0,0
7142,44,1,71,1.0,0
7219,44,1,42,1.0,0
7337,45,0,80,1.0,0
7354,46,0,123,1.0,5
7360,47,0,168,1.0,6
7701,48,0,53,1.0,6
7853,49,0,49,1.0,0
7879,50,0,172,1.0,0
7893,51,1,208,1.0,5
7894,51,1,231,1.0,5
7895,51,1,40,1.0,5
7897,51,1,78,1.0,5
7898,51,1,53,1.0,5
7900,51,1,33,1.0,5
7901,51,1,138,1.0,5
7903,51,1,232,1.0,5
7904,51,1,246,1.0,5
7907,51,1,49,1.0,5
7908,51,1,168,1.0,5
7909,51,1,184,1.0,5
7913,51,1,100,1.0,5
7916,51,1,42,1.0,5
7917,51,1,107,1.0,5
7919,51,1,55,1.0,5
7920,51,1,257,1.0,5
7925,51,1,237,1.0,5
7929,51,1,147,1.0,5
7936,51,1,5,1.0,5
7941,51,1,219,1.0,5
7944,51,1,80,1.0,5
7961,51,1,118,1.0,5
7978,51,1,112,1.0,5
7993,51,1,8,1.0,5
8021,51,1,206,1.0,5
8022,51,1,159,1.0,5
8048,51,1,115,1.0,5
8057,51,1,93,1.0,5
8058,51,1,130,1.0,5
8079,51,1,241,1.0,5
8081,51,1,46,1.0,5
8120,51,1,160,1.0,5
8135,51,1,21,1.0,5
8147,51,1,196,1.0,5
8148,51,1,210,1.0,5
8181,51,1,223,1.0,5
8293,51,1,221,1.0,5
8359,51,1,35,1.0,5
8443,51,1,13,1.0,5
8526,51,1,142,1.0,5
8898,52,0,198,1.0,5
9103,53,0,198,1.0,5
9112,54,1,49,1.0,5
9113,54,1,47,1.0,5
9114,54,1,5,1.0,5
9118,54,1,42,1.0,5
9119,54,1,196,1.0,5
9122,54,1,46,1.0,5
9126,54,1,81,1.0,5
9132,54,1,243,1.0,5
9145,54,1,71,1.0,5
9160,54,1,89,1.0,5
9249,55,0,138,1.0,0
9261,56,1,55,1.0,0
9262,56,1,40,1.0,0
9263,56,1,196,1.0,0
9264,56,1,175,1.0,0
9275,56,1,237,1.0,0
9286,56,1,130,1.0,0
9292,56,1,138,1.0,0
9324,56,1,248,1.0,0
9330,56,1,107,1.0,0
9412,57,1,175,1.0,0
9413,57,1,39,1.0,0
9414,57,1,22,1.0,0
9416,57,1,42,1.0,0
9424,57,1,189,1.0,0
9425,57,1,55,1.0,0
9432,57,1,137,1.0,0
9456,57,1,210,1.0,0
9490,58,0,144,1.0,0
9493,59,0,93,1.0,2
9513,60,1,72,1.0,6
9516,60,1,256,1.0,6
9517,60,1,33,1.0,6
9518,60,1,78,1.0,6
9522,60,1,53,1.0,6
9523,60,1,5,1.0,6
9524,60,1,100,1.0,6
9525,60,1,55,1.0,6
9526,60,1,20,1.0,6
9529,60,1,40,1.0,6
9534,60,1,231,1.0,6
9542,60,1,155,1.0,6
9543,60,1,42,1.0,6
9544,60,1,49,1.0,6
9545,60,1,257,1.0,6
9548,60,1,32,1.0,6
9550,60,1,0,1.0,6
9551,60,1,149,1.0,6
9555,60,1,138,1.0,6
9557,60,1,210,1.0,6
9559,60,1,104,1.0,6
9563,60,1,241,1.0,6
9575,60,1,196,1.0,6
9605,60,1,211,1.0,6
9614,60,1,39,1.0,6
9616,60,1,17,1.0,6
9622,60,1,237,1.0,6
9623,60,1,36,1.0,6
9651,60,1,81,1.0,6
9652,60,1,21,1.0,6
9654,60,1,12,1.0,6
9676,60,1,159,1.0,6
9693,60,1,208,1.0,6
9736,60,1,87,1.0,6
9824,60,1,251,1.0,6
9831,60,1,219,1.0,6
9901,60,1,130,1.0,6
10062,60,1,13,1.0,6
10088,60,1,141,1.0,6
10262,61,0,55,1.0,0
10283,62,0,100,1.0,0
10353,63,0,42,1.0,6
10412,64,0,181,1.0,0
10420,65,0,100,1.0,4
10436,66,0,131,1.0,6
10438,67,1,22,1.0,0
10439,67,1,189,1.0,0
10440,67,1,175,1.0,0
10442,67,1,195,1.0,0
10450,67,1,115,1.0,0
10467,67,1,150,1.0,0
10529,67,1,138,1.0,0
10538,67,1,202,1.0,0
10544,67,1,157,1.0,0
10693,67,1,221,1.0,0
11104,67,1,31,1.0,0
11168,68,0,179,1.0,0
11194,69,1,49,1.0,6
11195,69,1,42,1.0,6
11196,69,1,55,1.0,6
11197,69,1,78,1.0,6
11198,69,1,100,1.0,6
11200,69,1,87,1.0,6
11204,69,1,237,1.0,6
11205,69,1,93,1.0,6
11208,69,1,211,1.0,6
11219,69,1,138,1.0,6
11227,69,1,215,1.0,6
11237,69,1,53,1.0,6
11370,70,1,100,1.0,6
11371,70,1,87,1.0,6
11372,70,1,257,1.0,6
11373,70,1,223,1.0,6
11375,70,1,237,1.0,6
11376,70,1,80,1.0,6
11377,70,1,232,1.0,6
11379,70,1,241,1.0,6
11380,70,1,130,1.0,6
11383,70,1,210,1.0,6
11384,70,1,42,1.0,6
11385,70,1,53,1.0,6
11388,70,1,196,1.0,6
11389,70,1,138,1.0,6
11390,70,1,33,1.0,6
11391,70,1,231,1.0,6
11393,70,1,55,1.0,6
11398,70,1,197,1.0,6
11399,70,1,21,1.0,6
11407,70,1,49,1.0,6
11411,70,1,115,1.0,6
11412,70,1,5,1.0,6
11416,70,1,141,1.0,6
11421,70,1,205,1.0,6
11424,70,1,13,1.0,6
11429,70,1,22,1.0,6
11438,70,1,93,1.0,6
11441,70,1,81,1.0,6
11448,70,1,28,1.0,6
11449,70,1,206,1.0,6
11459,70,1,215,1.0,6
11481,70,1,104,1.0,6
11484,70,1,137,1.0,6
11779,70,1,195,1.0,6
11884,70,1,40,1.0,6
12096,71,0,237,1.0,6
12137,72,1,134,1.0,6
12139,72,1,13,1.0,6
12144,72,1,211,1.0,6
12145,72,1,187,1.0,6
12146,72,1,72,1.0,6
12147,72,1,191,1.0,6
12156,72,1,49,1.0,6
12177,72,1,100,1.0,6
12220,72,1,93,1.0,6
12247,73,0,100,1.0,0
12257,74,0,162,1.0,0
12282,75,0,100,1.0,6
12324,76,1,107,1.0,4
12325,76,1,104,1.0,4
12331,76,1,100,1.0,4
12338,76,1,207,1.0,4
12340,76,1,227,1.0,4
12349,76,1,49,1.0,4
12352,76,1,206,1.0,4
12521,77,1,20,1.0,6
12524,77,1,237,1.0,6
12525,77,1,36,1.0,6
12527,77,1,55,1.0,6
12544,78,0,78,1.0,6
12552,79,0,78,1.0,6
12563,80,0,87,1.0,0
12601,81,0,39,1.0,0
12609,82,0,183,1.0,0
12615,83,0,100,1.0,0
12625,84,0,78,1.0,6
12738,85,1,137,1.0,6
12739,85,1,211,1.0,6
12740,85,1,100,1.0,6
12741,85,1,231,1.0,6
12743,85,1,138,1.0,6
12744,85,1,93,1.0,6
12746,85,1,173,1.0,6
12752,85,1,55,1.0,6
12754,85,1,87,1.0,6
12756,85,1,42,1.0,6
12758,85,1,241,1.0,6
12766,85,1,17,1.0,6
12789,85,1,187,1.0,6
12841,86,0,93,1.0,0
12857,87,1,175,1.0,0
12858,87,1,100,1.0,0
12859,87,1,42,1.0,0
12863,87,1,55,1.0,0
12864,87,1,5,1.0,0
12870,87,1,87,1.0,0
12871,87,1,119,1.0,0
12875,87,1,76,1.0,0
12877,87,1,107,1.0,0
12891,87,1,196,1.0,0
12905,87,1,150,1.0,0
12912,87,1,207,1.0,0
12914,87,1,17,1.0,0
12922,87,1,154,1.0,0
12927,87,1,194,1.0,0
12930,87,1,200,1.0,0
12933,87,1,93,1.0,0
13102,88,1,4,1.0,7
13103,88,1,210,1.0,7
13112,88,1,55,1.0,7
13113,88,1,237,1.0,7
13122,88,1,93,1.0,7
13132,88,1,42,1.0,7
13135,88,1,187,1.0,7
13196,88,1,5,1.0,7
13242,89,1,32,1.0,2
13243,89,1,93,1.0,2
13245,89,1,118,1.0,2
13246,89,1,100,1.0,2
13249,89,1,40,1.0,2
13250,89,1,55,1.0,2
13254,89,1,215,1.0,2
13262,89,1,138,1.0,2
13264,89,1,160,1.0,2
13266,89,1,237,1.0,2
13273,89,1,199,1.0,2
13275,89,1,206,1.0,2
13512,90,0,21,1.0,2
13519,91,0,114,1.0,2
13552,92,0,53,1.0,6
13593,93,0,0,1.0,6
13599,94,0,150,1.0,0
13607,95,1,227,1.0,0
13608,95,1,242,1.0,0
13610,95,1,42,1.0,0
13611,95,1,100,1.0,0
13612,95,1,49,1.0,0
13615,95,1,103,1.0,0
13619,95,1,130,1.0,0
13621,95,1,40,1.0,0
13622,95,1,187,1.0,0
13632,95,1,213,1.0,0
13675,95,1,133,1.0,0
13707,95,1,118,1.0,0
13862,96,0,3,1.0,7
13866,97,0,50,1.0,6
13873,98,0,237,1.0,6
13877,99,0,51,1.0,0
13883,100,0,100,1.0,0
13943,101,0,189,1.0,5
13951,102,0,100,1.0,5
13958,103,0,181,1.0,0
14209,104,0,147,1.0,5
14245,105,0,239,1.0,0
14259,106,0,55,1.0,0
14260,107,0,5,1.0,0
14275,108,0,243,1.0,5
14307,109,0,147,1.0,5
14322,110,1,200,1.0,0
14323,110,1,13,1.0,0
14324,110,1,129,1.0,0
14329,110,1,54,1.0,0
14361,111,0,200,1.0,6
14368,112,0,163,1.0,0
14371,113,0,203,1.0,0
14411,114,1,93,1.0,8
14413,114,1,193,1.0,8
14416,114,1,100,1.0,8
14418,114,1,50,1.0,8
14430,114,1,237,1.0,8
14431,114,1,206,1.0,8
14433,114,1,104,1.0,8
14436,114,1,42,1.0,8
14468,114,1,137,1.0,8
14494,115,1,146,1.0,0
14519,115,1,242,1.0,0
14614,116,1,5,1.0,0
14615,116,1,49,1.0,0
14616,116,1,76,1.0,0
14617,116,1,231,1.0,0
14618,116,1,100,1.0,0
14619,116,1,196,1.0,0
14621,116,1,55,1.0,0
14623,116,1,78,1.0,0
14624,116,1,173,1.0,0
14625,116,1,138,1.0,0
14630,116,1,144,1.0,0
14633,116,1,137,1.0,0
14634,116,1,211,1.0,0
14636,116,1,8,1.0,0
14638,116,1,40,1.0,0
14641,116,1,32,1.0,0
14642,116,1,168,1.0,0
14644,116,1,160,1.0,0
14652,116,1,93,1.0,0
14655,116,1,80,1.0,0
14661,116,1,219,1.0,0
14674,116,1,210,1.0,0
14691,116,1,83,1.0,0
14692,116,1,200,1.0,0
14699,116,1,101,1.0,0
14709,116,1,87,1.0,0
14711,116,1,206,1.0,0
14758,116,1,192,1.0,0
14845,116,1,241,1.0,0
14848,116,1,118,1.0,0
14904,116,1,120,1.0,0
14918,116,1,237,1.0,0
15193,117,0,227,1.0,0
15246,118,0,88,1.0,6
15253,119,0,50,1.0,5
15259,120,0,4,1.0,7
15294,121,0,87,1.0,0
15309,122,1,42,1.0,2
15310,122,1,100,1.0,2
15311,122,1,8,1.0,2
15312,122,1,160,1.0,2
15313,122,1,87,1.0,2
15314,122,1,146,1.0,2
15315,122,1,93,1.0,2
15316,122,1,237,1.0,2
15318,122,1,13,1.0,2
15319,122,1,187,1.0,2
15322,122,1,168,1.0,2
15323,122,1,78,1.0,2
15330,122,1,49,1.0,2
15331,122,1,142,1.0,2
15333,122,1,131,1.0,2
15336,122,1,130,1.0,2
15341,122,1,138,1.0,2
15343,122,1,227,1.0,2
15346,122,1,40,1.0,2
15349,122,1,105,1.0,2
15353,122,1,137,1.0,2
15354,122,1,32,1.0,2
15359,122,1,80,1.0,2
15360,122,1,55,1.0,2
15371,122,1,17,1.0,2
15372,122,1,206,1.0,2
15378,122,1,5,1.0,2
15385,122,1,104,1.0,2
15389,122,1,144,1.0,2
15391,122,1,118,1.0,2
15405,122,1,184,1.0,2
15413,122,1,231,1.0,2
15429,122,1,101,1.0,2
15468,122,1,248,1.0,2
15487,122,1,84,1.0,2
15519,122,1,210,1.0,2
15606,122,1,154,1.0,2
15665,122,1,0,1.0,2
15720,122,1,196,1.0,2
16209,123,0,55,1.0,9
16215,124,0,80,1.0,9
16233,125,1,100,1.0,0
16234,125,1,227,1.0,0
16235,125,1,162,1.0,0
16239,125,1,118,1.0,0
16242,125,1,159,1.0,0
16245,125,1,138,1.0,0
16252,125,1,246,1.0,0
16253,125,1,168,1.0,0
16254,125,1,55,1.0,0
16255,125,1,104,1.0,0
16265,125,1,130,1.0,0
16290,125,1,93,1.0,0
16293,125,1,231,1.0,0
16332,125,1,196,1.0,0
16360,126,0,93,1.0,4
16387,127,1,146,1.0,9
16388,127,1,93,1.0,9
16389,127,1,80,1.0,9
16390,127,1,32,1.0,9
16391,127,1,206,1.0,9
16392,127,1,138,1.0,9
16394,127,1,137,1.0,9
16395,127,1,104,1.0,9
16403,127,1,8,1.0,9
16410,127,1,13,1.0,9
16414,127,1,118,1.0,9
16426,127,1,100,1.0,9
16479,127,1,187,1.0,9
16535,128,0,56,1.0,0
16573,129,0,144,1.0,0
16578,130,0,181,1.0,6
16587,131,1,168,1.0,0
16588,131,1,55,1.0,0
16589,131,1,138,1.0,0
16590,131,1,166,1.0,0
16591,131,1,227,1.0,0
16592,131,1,191,1.0,0
16610,131,1,130,1.0,0
16613,131,1,104,1.0,0
16659,131,1,108,1.0,0
16675,131,1,77,1.0,0
16888,131,1,79,1.0,0
16987,132,1,104,1.0,0
16988,132,1,80,1.0,0
16989,132,1,168,1.0,0
16991,132,1,196,1.0,0
16993,132,1,42,1.0,0
16994,132,1,237,1.0,0
16995,132,1,93,1.0,0
16998,132,1,49,1.0,0
17000,132,1,114,1.0,0
17019,132,1,53,1.0,0
17023,132,1,33,1.0,0
17034,132,1,138,1.0,0
17050,132,1,72,1.0,0
17060,132,1,22,1.0,0
17062,132,1,142,1.0,0
17072,132,1,130,1.0,0
17082,132,1,103,1.0,0
17165,132,1,144,1.0,0
17217,132,1,241,1.0,0
17285,133,0,55,1.0,6
17320,134,1,172,1.0,7
17321,134,1,130,1.0,7
17322,134,1,200,1.0,7
17324,134,1,80,1.0,7
17331,134,1,100,1.0,7
17470,135,1,146,1.0,4
17471,135,1,93,1.0,4
17472,135,1,40,1.0,4
17473,135,1,32,1.0,4
17477,135,1,42,1.0,4
17478,135,1,142,1.0,4
17479,135,1,144,1.0,4
17480,135,1,138,1.0,4
17482,135,1,206,1.0,4
17483,135,1,5,1.0,4
17489,135,1,104,1.0,4
17490,135,1,55,1.0,4
17491,135,1,100,1.0,4
17494,135,1,143,1.0,4
17496,135,1,196,1.0,4
17506,135,1,118,1.0,4
17514,135,1,130,1.0,4
17518,135,1,80,1.0,4
17519,135,1,13,1.0,4
17566,135,1,210,1.0,4
17608,135,1,237,1.0,4
17752,136,0,237,1.0,4
17789,137,0,179,1.0,5
17850,138,0,80,1.0,9
17882,139,0,175,1.0,0
17892,140,0,195,1.0,0
17899,141,0,198,1.0,0
17991,142,0,104,1.0,0
18007,143,0,179,1.0,0
18011,144,0,175,1.0,0
18020,145,0,100,1.0,2
18042,146,0,100,1.0,8
18070,147,0,81,1.0,0
18145,148,1,100,1.0,0
18149,148,1,159,1.0,0
18153,148,1,98,1.0,0
18158,148,1,241,1.0,0
18161,148,1,49,1.0,0
18220,149,0,49,1.0,2
18232,150,0,93,1.0,0
18239,151,0,100,1.0,5
18247,152,1,36,1.0,4
18248,152,1,203,1.0,4
18249,152,1,182,1.0,4
18251,152,1,229,1.0,4
18252,152,1,100,1.0,4
18253,152,1,119,1.0,4
18254,152,1,256,1.0,4
18255,152,1,118,1.0,4
18269,152,1,93,1.0,4
18290,152,1,13,1.0,4
18326,152,1,172,1.0,4
18343,152,1,21,1.0,4
18367,152,1,60,1.0,4
18560,153,0,49,1.0,6
18567,154,0,217,1.0,0
18585,155,1,187,1.0,0
18586,155,1,144,1.0,0
18587,155,1,5,1.0,0
18588,155,1,118,1.0,0
18592,155,1,168,1.0,0
18593,155,1,227,1.0,0
18594,155,1,237,1.0,0
18598,155,1,104,1.0,0
18609,155,1,130,1.0,0
18619,155,1,100,1.0,0
18624,155,1,138,1.0,0
18683,156,0,42,1.0,6
18703,157,0,187,1.0,5
18718,158,0,42,1.0,6
18723,159,1,42,1.0,6
18724,159,1,137,1.0,6
18725,159,1,77,1.0,6
18726,159,1,142,1.0,6
18729,159,1,138,1.0,6
18733,159,1,125,1.0,6
18738,159,1,49,1.0,6
18748,159,1,93,1.0,6
18873,159,1,108,1.0,6
18975,160,0,36,1.0,6
18988,161,0,198,1.0,5
18993,162,0,162,1.0,0
18996,163,0,163,1.0,0
19001,164,0,50,1.0,0
19004,165,1,130,1.0,0
19005,165,1,231,1.0,0
19006,165,1,40,1.0,0
19007,165,1,82,1.0,0
19008,165,1,181,1.0,0
19009,165,1,55,1.0,0
19012,165,1,118,1.0,0
19014,165,1,20,1.0,0
19015,165,1,72,1.0,0
19016,165,1,237,1.0,0
19017,165,1,49,1.0,0
19021,165,1,128,1.0,0
19023,165,1,206,1.0,0
19025,165,1,104,1.0,0
19028,165,1,251,1.0,0
19032,165,1,71,1.0,0
19038,165,1,80,1.0,0
19040,165,1,13,1.0,0
19041,165,1,78,1.0,0
19044,165,1,87,1.0,0
19058,165,1,12,1.0,0
19061,165,1,187,1.0,0
19063,165,1,138,1.0,0
19069,165,1,241,1.0,0
19104,165,1,235,1.0,0
19107,165,1,257,1.0,0
19109,165,1,200,1.0,0
19115,165,1,54,1.0,0
19137,165,1,53,1.0,0
19166,165,1,93,1.0,0
19174,165,1,137,1.0,0
19185,165,1,36,1.0,0
19209,165,1,219,1.0,0
19419,166,0,208,1.0,0
19501,167,0,104,1.0,0
19515,168,0,100,1.0,8
19585,169,0,100,1.0,7
19616,170,1,118,1.0,1
19617,170,1,168,1.0,1
19618,170,1,49,1.0,1
19620,170,1,104,1.0,1
19623,170,1,100,1.0,1
19625,170,1,13,1.0,1
19628,170,1,84,1.0,1
19629,170,1,40,1.0,1
19636,170,1,78,1.0,1
19643,170,1,131,1.0,1
19647,170,1,231,1.0,1
19654,170,1,5,1.0,1
19724,170,1,8,1.0,1
19783,170,1,227,1.0,1
19802,171,0,210,1.0,0
19812,172,0,116,1.0,0
19819,173,0,130,1.0,6
19827,174,0,26,1.0,8
19971,175,0,186,1.0,8
19993,176,0,40,1.0,0
19997,177,0,76,1.0,6
20001,178,0,4,1.0,7
20004,179,1,210,1.0,6
20005,179,1,241,1.0,6
20006,179,1,168,1.0,6
20007,179,1,104,1.0,6
20015,179,1,196,1.0,6
20018,179,1,78,1.0,6
20019,179,1,1,1.0,6
20022,179,1,138,1.0,6
20023,179,1,246,1.0,6
20025,179,1,42,1.0,6
20026,179,1,160,1.0,6
20027,179,1,137,1.0,6
20031,179,1,187,1.0,6
20039,179,1,100,1.0,6
20041,179,1,231,1.0,6
20042,179,1,170,1.0,6
20048,179,1,93,1.0,6
20054,179,1,21,1.0,6
20068,179,1,12,1.0,6
20076,179,1,8,1.0,6
20084,179,1,5,1.0,6
20110,179,1,80,1.0,6
20126,179,1,144,1.0,6
20150,179,1,40,1.0,6
20153,179,1,49,1.0,6
20457,180,0,93,1.0,6
20471,181,0,131,1.0,6
20472,182,1,130,1.0,4
20473,182,1,188,1.0,4
20474,182,1,179,1.0,4
20475,182,1,42,1.0,4
20477,182,1,210,1.0,4
20495,182,1,220,1.0,4
20594,183,0,55,1.0,0
20612,184,0,7,1.0,5
20649,185,0,122,1.0,5
20653,186,0,186,1.0,5
20673,187,0,49,1.0,0
20702,188,0,118,1.0,1
20815,189,0,100,1.0,1
20829,190,1,146,1.0,1
20830,190,1,100,1.0,1
20831,190,1,21,1.0,1
20832,190,1,104,1.0,1
20833,190,1,93,1.0,1
20835,190,1,231,1.0,1
20836,190,1,17,1.0,1
20841,190,1,215,1.0,1
20843,190,1,206,1.0,1
20848,190,1,82,1.0,1
20849,190,1,40,1.0,1
20852,190,1,118,1.0,1
20862,190,1,32,1.0,1
20869,190,1,42,1.0,1
20889,190,1,210,1.0,1
20936,190,1,36,1.0,1
20954,190,1,49,1.0,1
21006,191,1,13,1.0,1
21007,191,1,118,1.0,1
21008,191,1,100,1.0,1
21009,191,1,206,1.0,1
21010,191,1,78,1.0,1
21014,191,1,55,1.0,1
21016,191,1,200,1.0,1
21018,191,1,49,1.0,1
21020,191,1,231,1.0,1
21027,191,1,80,1.0,1
21032,191,1,40,1.0,1
21035,191,1,42,1.0,1
21036,191,1,144,1.0,1
21038,191,1,72,1.0,1
21039,191,1,138,1.0,1
21040,191,1,83,1.0,1
21045,191,1,210,1.0,1
21053,191,1,53,1.0,1
21090,191,1,241,1.0,1
21166,192,1,93,1.0,1
21167,192,1,168,1.0,1
21174,192,1,78,1.0,1
21176,192,1,100,1.0,1
21177,192,1,137,1.0,1
21179,192,1,118,1.0,1
21192,192,1,196,1.0,1
21198,192,1,237,1.0,1
21200,192,1,246,1.0,1
21203,192,1,32,1.0,1
21213,192,1,138,1.0,1
21220,192,1,87,1.0,1
21270,192,1,160,1.0,1
21273,192,1,241,1.0,1
21313,192,1,219,1.0,1
21324,192,1,131,1.0,1
21355,192,1,49,1.0,1
21507,193,0,187,1.0,1
21533,194,0,172,1.0,2
21568,195,0,200,1.0,4
21570,196,0,109,1.0,5
21574,197,0,172,1.0,9
21580,198,0,100,1.0,8
21676,199,0,124,1.0,0
21681,200,0,100,1.0,8
21699,201,0,151,1.0,0
21713,202,0,100,1.0,0
21730,203,0,55,1.0,8
21734,204,1,93,1.0,0
21735,204,1,87,1.0,0
21738,204,1,108,1.0,0
21744,204,1,206,1.0,0
21746,204,1,237,1.0,0
21777,204,1,100,1.0,0
21793,205,0,93,1.0,6
21800,206,0,150,1.0,0
21801,207,0,39,1.0,0
21811,208,0,49,1.0,0
21816,209,0,142,1.0,0
21837,210,0,114,1.0,5
21878,211,0,200,1.0,1
21898,212,0,55,1.0,9
21938,213,0,61,1.0,9
21942,214,0,109,1.0,0
21961,215,0,93,1.0,7
21973,216,0,34,1.0,9
22009,217,0,55,1.0,9
22015,218,0,181,1.0,9
22025,219,0,93,1.0,9
22076,220,0,191,1.0,9
22089,221,0,100,1.0,2
22104,222,0,179,1.0,0
22115,223,0,231,1.0,6
22124,224,0,0,1.0,0
