Location_id,Item_id,POI_Type,User_id,Latitude,Longitude,L2_Category_name,name,stars,Time,Date,POI,clusters,L1_Category_name,L1_Category,counts,new_time
17,11,1,0,33.485847,-112.06903,15,China Chili,4.0,2:49:47,2012429,Independent,0,2,Food,4,2
18,12,1,0,33.487849,-112.074505,16,Walgreens,2.5,3:43:50,2012429,Independent,0,1,Shop & Service,4,3
9,5,1,0,33.506915,-112.074183,9,Sweet Venezia,3.0,18:42:51,2012429,Independent,0,2,Food,4,18
19,13,1,0,33.495761,-112.2045,17,Lam's Seafood Market,3.5,20:27:30,2012429,Independent,5,2,Food,4,20
20,14,1,0,33.488921000000005,-112.082997,6,Eribertos Mexican Food,3.5,4:10:15,2012505,Independent,0,2,Food,2,4
21,0,0,0,33.521109,-112.094372,18,Harkins Theatres Christown 14,3.5,20:23:32,2012505,Combined,0,3,Arts & Entertainment,2,20
22,15,1,0,33.436051,-111.999527,19,Einstein Bros Bagels,3.0,21:06:15,2012506,Independent,1,2,Food,4,21
0,0,0,0,33.520454,-112.099745,0,Metro Montebello/19th Ave,3.5,22:07:08,2012506,Combined,0,0,Travel & Transport,4,22
2,0,0,0,33.522757,-112.09891299999998,2,Bank of America,1.5,22:13:35,2012506,Combined,0,1,Shop & Service,4,22
3,0,0,0,33.522777000000005,-112.09398799999998,3,Seva Beauty,3.0,22:34:41,2012506,Combined,0,1,Shop & Service,4,22
5,1,1,0,33.43736,-111.999649,5,Prairie News and Gifts,3.5,2:08:12,2012509,Independent,1,1,Shop & Service,2,2
22,15,1,0,33.436051,-111.999527,19,Einstein Bros Bagels,3.0,2:36:05,2012509,Independent,1,2,Food,2,2
23,16,1,0,33.465483,-112.073146,16,CVS Pharmacy,2.5,21:39:38,2012510,Independent,2,1,Shop & Service,2,21
24,17,1,0,33.465521,-112.06354,20,Whataburger,3.5,22:21:01,2012510,Independent,2,2,Food,2,22
25,18,1,0,33.47457,-112.064849,21,Lisa G Cafe and Wine Bar,4.0,3:26:26,2012512,Independent,2,2,Food,4,3
16,10,1,0,33.488271999999995,-112.081581,12,Safeway,2.5,21:56:25,2012512,Independent,0,1,Shop & Service,4,21
7,3,1,0,33.465472,-112.082981,7,Pei Wei,2.5,22:10:26,2012512,Independent,2,2,Food,4,22
26,19,1,0,33.486884,-112.083777,12,Bashas',2.5,22:18:50,2012512,Independent,0,1,Shop & Service,4,22
27,20,1,0,33.509523,-112.060233,22,Oregano's Pizza Bistro,3.5,1:41:24,2012513,Independent,4,2,Food,3,1
9,5,1,0,33.506915,-112.074183,9,Sweet Venezia,3.0,21:43:55,2012513,Independent,0,2,Food,3,21
28,21,1,0,33.494488,-112.083067,12,Natural Grocers,4.0,22:14:28,2012513,Independent,0,1,Shop & Service,3,22
29,22,1,0,33.50195,-111.95201000000002,23,Mary Elaine's,5.0,1:04:25,2012519,Independent,6,2,Food,3,1
30,23,1,0,33.49511,-112.079971,20,Whataburger,2.5,6:02:26,2012519,Independent,0,2,Food,3,6
16,10,1,0,33.488271999999995,-112.081581,12,Safeway,2.5,17:33:58,2012519,Independent,0,1,Shop & Service,3,17
31,8,0,0,33.50977,-112.043605,24,Cost Plus World Market,4.5,21:02:02,2012527,Combined,4,1,Shop & Service,3,21
9,5,1,0,33.506915,-112.074183,9,Sweet Venezia,3.0,22:06:44,2012527,Independent,0,2,Food,3,22
32,24,1,0,33.457887,-112.068443,9,Bliss Rebar,4.0,23:51:14,2012527,Independent,2,2,Food,3,23
33,25,0,0,33.509068,-112.070287,25,AutoZone Auto Parts,4.0,23:06:51,2012602,Combined,0,1,Shop & Service,2,23
34,26,0,0,33.510735,-112.085267,12,Fry's Food & Drug Stores,2.5,23:19:35,2012602,Combined,0,1,Shop & Service,2,23
35,27,1,0,33.494507,-111.995038,26,The Vig Arcadia,4.0,4:31:54,2012603,Independent,6,4,Nightlife Spot,2,4
36,28,1,0,33.479893,-112.091083,27,Original Hamburger Works,4.0,21:29:50,2012603,Independent,0,2,Food,2,21
37,29,0,0,33.453571999999994,-112.069194,28,AMC Arizona Center 24,3.0,0:58:45,2012604,Combined,2,3,Arts & Entertainment,3,0
22,15,1,0,33.436051,-111.999527,19,Einstein Bros Bagels,3.0,13:15:57,2012604,Independent,1,2,Food,3,13
5,1,1,0,33.43736,-111.999649,5,Prairie News and Gifts,3.5,14:12:09,2012604,Independent,1,1,Shop & Service,3,14
38,30,1,0,33.491616,-112.073432,9,FEZ,4.0,1:25:19,2012607,Independent,0,2,Food,2,1
6,2,1,0,33.435758,-111.997897,6,El Bravo Sky Harbor,2.5,15:22:20,2012607,Independent,1,2,Food,2,15
21,0,0,0,33.521109,-112.094372,18,Harkins Theatres Christown 14,3.5,19:49:41,2012616,Combined,0,3,Arts & Entertainment,4,19
13,0,0,0,33.521415000000005,-112.09548,12,Costco,3.5,22:47:58,2012616,Combined,0,1,Shop & Service,4,22
39,31,1,0,33.458791,-112.077595,29,Pita Jungle,3.5,23:01:20,2012616,Independent,2,2,Food,4,23
39,31,1,0,33.458791,-112.077595,29,Pita Jungle,3.5,23:04:56,2012616,Independent,2,2,Food,4,23
40,25,0,0,33.509996,-112.07222,12,AJ's Fine Foods,3.5,14:02:58,2012617,Combined,0,1,Shop & Service,2,14
41,32,1,0,33.39094,-112.013023,30,The Farm At South Mountain,4.0,16:08:39,2012617,Independent,1,1,Shop & Service,2,16
5,1,1,0,33.43736,-111.999649,5,Prairie News and Gifts,3.5,15:37:29,2012627,Independent,1,1,Shop & Service,2,15
22,15,1,0,33.436051,-111.999527,19,Einstein Bros Bagels,3.0,16:10:56,2012627,Independent,1,2,Food,2,16
21,0,0,0,33.521109,-112.094372,18,Harkins Theatres Christown 14,3.5,2:04:40,2012701,Combined,0,3,Arts & Entertainment,2,2
1,0,0,0,33.522793,-112.09548,1,Christown Spectrum,2.5,4:57:38,2012701,Combined,0,1,Shop & Service,2,4
9,5,1,0,33.506915,-112.074183,9,Sweet Venezia,3.0,0:37:44,2012703,Independent,0,2,Food,2,0
42,33,0,0,33.447369,-112.072896,9,The Arrogant Butcher,4.0,19:37:18,2012703,Combined,2,2,Food,2,19
37,29,0,0,33.453571999999994,-112.069194,28,AMC Arizona Center 24,3.0,2:47:55,2012704,Combined,2,3,Arts & Entertainment,2,2
43,34,1,0,33.581478000000004,-111.979103,12,Fry's Food & Drug Stores,3.5,22:03:33,2012704,Independent,7,1,Shop & Service,2,22
16,10,1,0,33.488271999999995,-112.081581,12,Safeway,2.5,2:48:33,2012729,Independent,0,1,Shop & Service,2,2
20,14,1,0,33.488921000000005,-112.082997,6,Eribertos Mexican Food,3.5,15:14:57,2012729,Independent,0,2,Food,2,15
44,35,1,0,33.490891,-112.047951,31,Angelo's Lounge,2.5,2:38:25,2012811,Independent,4,4,Nightlife Spot,3,2
45,36,1,0,33.490961,-112.047954,31,Bar 1,4.0,4:34:13,2012811,Independent,4,4,Nightlife Spot,3,4
46,37,0,0,33.516672,-112.063028,32,Fashion Cleaners,4.5,21:47:46,2012811,Combined,4,1,Shop & Service,3,21
10,6,1,0,33.450507,-112.072668,10,A Magic Touch Mobile Massage,4.0,20:04:43,2012816,Independent,2,1,Shop & Service,2,20
1,0,0,0,33.522793,-112.09548,1,Christown Spectrum,2.5,23:54:47,2012816,Combined,0,1,Shop & Service,2,23
13,0,0,0,33.521415000000005,-112.09548,12,Costco,3.5,19:23:28,2012909,Combined,0,1,Shop & Service,2,19
39,31,1,0,33.458791,-112.077595,29,Pita Jungle,3.5,21:06:38,2012909,Independent,2,2,Food,2,21
47,38,1,0,33.488667,-112.082428,33,Great Clips,3.5,22:33:53,20121106,Independent,0,1,Shop & Service,2,22
16,10,1,0,33.488271999999995,-112.081581,12,Safeway,2.5,22:51:22,20121106,Independent,0,1,Shop & Service,2,22
48,39,1,0,33.486813,-112.073891,8,Metro Phoenix Light Rail,4.0,0:10:13,20121120,Independent,0,0,Travel & Transport,2,0
18,12,1,0,33.487849,-112.074505,16,Walgreens,2.5,0:11:51,20121120,Independent,0,1,Shop & Service,2,0
0,0,0,0,33.520454,-112.099745,0,Metro Montebello/19th Ave,3.5,19:48:00,20121123,Combined,0,0,Travel & Transport,4,19
1,0,0,0,33.522793,-112.09548,1,Christown Spectrum,2.5,19:54:25,20121123,Combined,0,1,Shop & Service,4,19
21,0,0,0,33.521109,-112.094372,18,Harkins Theatres Christown 14,3.5,20:02:26,20121123,Combined,0,3,Arts & Entertainment,4,20
39,31,1,0,33.458791,-112.077595,29,Pita Jungle,3.5,23:21:08,20121123,Independent,2,2,Food,4,23
16,10,1,0,33.488271999999995,-112.081581,12,Safeway,2.5,22:24:49,20121201,Independent,0,1,Shop & Service,2,22
18,12,1,0,33.487849,-112.074505,16,Walgreens,2.5,23:56:50,20121201,Independent,0,1,Shop & Service,2,23
49,40,1,0,33.458692,-112.069473,34,Phoenix First Fridays,4.0,3:22:53,20121208,Independent,2,3,Arts & Entertainment,3,3
32,24,1,0,33.457887,-112.068443,9,Bliss Rebar,4.0,5:36:33,20121208,Independent,2,2,Food,3,5
1,0,0,0,33.522793,-112.09548,1,Christown Spectrum,2.5,23:01:44,20121208,Combined,0,1,Shop & Service,3,23
31,8,0,0,33.50977,-112.043605,24,Cost Plus World Market,4.5,0:47:02,2013102,Combined,4,1,Shop & Service,5,0
28,21,1,0,33.494488,-112.083067,12,Natural Grocers,4.0,0:57:22,2013102,Independent,0,1,Shop & Service,5,0
32,24,1,0,33.457887,-112.068443,9,Bliss Rebar,4.0,1:15:08,2013102,Independent,2,2,Food,5,1
1,0,0,0,33.522793,-112.09548,1,Christown Spectrum,2.5,20:39:15,2013102,Combined,0,1,Shop & Service,5,20
3,0,0,0,33.522777000000005,-112.09398799999998,3,Seva Beauty,3.0,21:13:10,2013102,Combined,0,1,Shop & Service,5,21
18,12,1,0,33.487849,-112.074505,16,Walgreens,2.5,0:22:30,2013106,Independent,0,1,Shop & Service,3,0
14,8,0,0,33.510046,-112.045634,13,Total Wine & More,4.0,1:59:27,2013106,Combined,4,1,Shop & Service,3,1
50,41,0,0,33.510619,-112.028247,35,Royal Coffee Bar,4.0,2:22:43,2013106,Combined,4,2,Food,3,2
16,10,1,0,33.488271999999995,-112.081581,12,Safeway,2.5,4:53:19,2013112,Independent,0,1,Shop & Service,4,4
51,42,1,0,33.524104,-112.065443,16,CVS Pharmacy,2.0,20:19:28,2013112,Independent,4,1,Shop & Service,4,20
21,0,0,0,33.521109,-112.094372,18,Harkins Theatres Christown 14,3.5,20:42:45,2013112,Combined,0,3,Arts & Entertainment,4,20
2,0,0,0,33.522757,-112.09891299999998,2,Bank of America,1.5,22:11:52,2013112,Combined,0,1,Shop & Service,4,22
52,43,1,0,33.465893,-112.060629,16,Urgent Care Plus,2.5,18:29:20,2013124,Independent,2,1,Shop & Service,3,18
53,44,1,0,33.466302,-112.065932,19,Einstein Bros Bagels,2.5,18:39:18,2013124,Independent,2,2,Food,3,18
48,39,1,0,33.486813,-112.073891,8,Metro Phoenix Light Rail,4.0,21:11:24,2013124,Independent,0,0,Travel & Transport,3,21
0,0,0,0,33.520454,-112.099745,0,Metro Montebello/19th Ave,3.5,17:12:23,2013205,Combined,0,0,Travel & Transport,4,17
2,0,0,0,33.522757,-112.09891299999998,2,Bank of America,1.5,17:15:20,2013205,Combined,0,1,Shop & Service,4,17
54,0,0,0,33.522904,-112.095368,36,America's Best Contacts & Eyeglasses,2.0,17:19:09,2013205,Combined,0,1,Shop & Service,4,17
3,0,0,0,33.522777000000005,-112.09398799999998,3,Seva Beauty,3.0,18:34:20,2013205,Combined,0,1,Shop & Service,4,18
55,45,1,0,33.506492,-112.073664,34,Twirl,4.5,17:44:15,2013210,Independent,0,3,Arts & Entertainment,2,17
56,46,1,0,33.500469,-112.074053,37,Lux Central,4.5,20:29:50,2013210,Independent,0,2,Food,2,20
57,47,1,0,33.510827,-112.09172,38,Nolan Joseph MD,4.0,20:26:38,2013225,Independent,0,5,Professional & Other Places,3,20
0,0,0,0,33.520454,-112.099745,0,Metro Montebello/19th Ave,3.5,21:08:37,2013225,Combined,0,0,Travel & Transport,3,21
13,0,0,0,33.521415000000005,-112.09548,12,Costco,3.5,21:56:01,2013225,Combined,0,1,Shop & Service,3,21
1,0,0,0,33.522793,-112.09548,1,Christown Spectrum,2.5,22:08:58,2013306,Combined,0,1,Shop & Service,3,22
3,0,0,0,33.522777000000005,-112.09398799999998,3,Seva Beauty,3.0,22:38:57,2013306,Combined,0,1,Shop & Service,3,22
13,0,0,0,33.521415000000005,-112.09548,12,Costco,3.5,23:30:58,2013306,Combined,0,1,Shop & Service,3,23
18,12,1,0,33.487849,-112.074505,16,Walgreens,2.5,3:11:59,2013310,Independent,0,1,Shop & Service,3,3
1,0,0,0,33.522793,-112.09548,1,Christown Spectrum,2.5,3:55:56,2013310,Combined,0,1,Shop & Service,3,3
58,48,1,0,33.479787,-112.074087,39,Honey Bear's BBQ,3.0,22:05:03,2013310,Independent,0,2,Food,3,22
56,46,1,0,33.500469,-112.074053,37,Lux Central,4.5,20:20:23,2013328,Independent,0,2,Food,2,20
59,49,1,0,33.447404,-112.074816,16,CVS Pharmacy,4.0,23:59:50,2013328,Independent,2,1,Shop & Service,2,23
60,50,0,1,33.382863,-111.964846,1,Arizona Mills,3.0,1:05:23,2012410,Combined,1,1,Shop & Service,3,1
61,50,0,1,33.382325,-111.963387,4,At Home,3.0,1:28:34,2012410,Combined,1,1,Shop & Service,3,1
62,50,0,1,33.385085,-111.962314,40,SEA LIFE Arizona Aquarium,3.5,1:56:07,2012410,Combined,1,3,Arts & Entertainment,3,1
63,51,1,1,33.392472,-111.96111299999998,14,Schlotzsky's,3.0,2:17:33,2012415,Independent,1,2,Food,4,2
64,52,1,1,33.391355,-111.961327,15,Golden Egg Roll,3.5,2:17:48,2012415,Independent,1,2,Food,4,2
65,53,1,1,33.444809,-112.079585,34,The Icehouse,4.0,9:08:16,2012415,Independent,2,3,Arts & Entertainment,4,9
66,54,1,1,33.448631,-112.079365,41,Comerica Theater,3.0,9:44:03,2012415,Independent,2,3,Arts & Entertainment,4,9
63,51,1,1,33.392472,-111.96111299999998,14,Schlotzsky's,3.0,2:05:05,2012420,Independent,1,2,Food,7,2
67,55,1,1,33.392621000000005,-111.960374,42,Circle K,1.0,3:55:57,2012420,Independent,1,1,Shop & Service,7,3
68,56,0,1,33.426293,-111.940255,43,Hippies Cove,3.0,5:56:16,2012420,Combined,1,4,Nightlife Spot,7,5
69,56,0,1,33.426134999999995,-111.939723,44,Aura,3.0,6:48:37,2012420,Combined,1,4,Nightlife Spot,7,6
70,56,0,1,33.424278,-111.94077,44,Dierks Bentley's Whiskey Row,3.0,7:42:52,2012420,Combined,1,4,Nightlife Spot,7,7
71,57,1,1,33.421576,-111.940247,16,CVS Pharmacy,2.0,9:16:28,2012420,Independent,1,1,Shop & Service,7,9
72,58,1,1,33.406994,-111.940258,16,Walgreens,3.0,9:37:14,2012420,Independent,1,1,Shop & Service,7,9
67,55,1,1,33.392621000000005,-111.960374,42,Circle K,1.0,2:08:23,2012421,Independent,1,1,Shop & Service,2,2
73,59,1,1,33.391858,-111.961428,6,Taco Nazo,3.0,2:18:54,2012421,Independent,1,2,Food,2,2
63,51,1,1,33.392472,-111.96111299999998,14,Schlotzsky's,3.0,0:25:01,2012423,Independent,1,2,Food,6,0
69,56,0,1,33.426134999999995,-111.939723,44,Aura,3.0,6:10:17,2012423,Combined,1,4,Nightlife Spot,6,6
74,56,0,1,33.426140999999994,-111.939955,45,RA Sushi Bar Restaurant,3.0,6:30:06,2012423,Combined,1,2,Food,6,6
75,56,0,1,33.426438,-111.939601,21,Rula Bula,4.0,7:03:10,2012423,Combined,1,2,Food,6,7
70,56,0,1,33.424278,-111.94077,44,Dierks Bentley's Whiskey Row,3.0,7:36:18,2012423,Combined,1,4,Nightlife Spot,6,7
76,60,1,1,33.428021,-111.935931,46,Hayden Butte Preserve,4.5,23:21:39,2012423,Independent,1,6,Outdoors & Recreation,6,23
76,60,1,1,33.428021,-111.935931,46,Hayden Butte Preserve,4.5,6:31:29,2012429,Independent,1,6,Outdoors & Recreation,8,6
69,56,0,1,33.426134999999995,-111.939723,44,Aura,3.0,6:31:54,2012429,Combined,1,4,Nightlife Spot,8,6
77,33,0,1,33.448462,-112.07197,43,Burn Nightclub,3.0,7:01:41,2012429,Combined,2,4,Nightlife Spot,8,7
78,33,0,1,33.4484,-112.071796,44,Bar Smith,3.5,7:53:52,2012429,Combined,2,4,Nightlife Spot,8,7
79,33,0,1,33.448301,-112.071748,43,Burn Nightclub,3.0,8:52:34,2012429,Combined,2,4,Nightlife Spot,8,8
80,33,0,1,33.447552,-112.072593,44,Tilted Kilt Pub & Eatery,3.0,9:51:16,2012429,Combined,2,4,Nightlife Spot,8,9
81,61,1,1,33.446203000000004,-111.970574,47,Le Girls Gentlemen's Club,2.5,11:07:59,2012429,Independent,1,4,Nightlife Spot,8,11
82,62,1,1,33.442609999999995,-111.955351,48,Filiberto's Mexican Food,2.5,11:34:32,2012429,Independent,1,2,Food,8,11
83,50,0,1,33.384905,-111.964889,49,Wetzel's Pretzels,4.0,4:54:44,2012507,Combined,1,2,Food,2,4
60,50,0,1,33.382863,-111.964846,1,Arizona Mills,3.0,18:58:52,2012507,Combined,1,1,Shop & Service,2,18
69,56,0,1,33.426134999999995,-111.939723,44,Aura,3.0,6:34:32,2012527,Combined,1,4,Nightlife Spot,5,6
77,33,0,1,33.448462,-112.07197,43,Burn Nightclub,3.0,7:30:03,2012527,Combined,2,4,Nightlife Spot,5,7
78,33,0,1,33.4484,-112.071796,44,Bar Smith,3.5,8:49:51,2012527,Combined,2,4,Nightlife Spot,5,8
79,33,0,1,33.448301,-112.071748,43,Burn Nightclub,3.0,10:22:56,2012527,Combined,2,4,Nightlife Spot,5,10
80,33,0,1,33.447552,-112.072593,44,Tilted Kilt Pub & Eatery,3.0,10:23:36,2012527,Combined,2,4,Nightlife Spot,5,10
68,56,0,1,33.426293,-111.940255,43,Hippies Cove,3.0,5:38:16,2012529,Combined,1,4,Nightlife Spot,4,5
74,56,0,1,33.426140999999994,-111.939955,45,RA Sushi Bar Restaurant,3.0,6:10:55,2012529,Combined,1,2,Food,4,6
75,56,0,1,33.426438,-111.939601,21,Rula Bula,4.0,6:51:28,2012529,Combined,1,2,Food,4,6
70,56,0,1,33.424278,-111.94077,44,Dierks Bentley's Whiskey Row,3.0,8:55:46,2012529,Combined,1,4,Nightlife Spot,4,8
84,63,1,1,33.393252000000004,-111.977013,14,Subway,3.0,0:09:33,2012603,Independent,1,2,Food,2,0
85,64,1,1,33.392108,-111.996238,16,Walgreens,2.5,0:17:18,2012603,Independent,1,1,Shop & Service,2,0
86,56,0,1,33.425224,-111.939778,26,Crave Cafe & Lounge,3.0,6:37:01,2012610,Combined,1,4,Nightlife Spot,6,6
87,56,0,1,33.425174,-111.939697,44,Mr. Mesquite Taqueria,4.0,7:20:34,2012610,Combined,1,4,Nightlife Spot,6,7
69,56,0,1,33.426134999999995,-111.939723,44,Aura,3.0,8:12:17,2012610,Combined,1,4,Nightlife Spot,6,8
74,56,0,1,33.426140999999994,-111.939955,45,RA Sushi Bar Restaurant,3.0,8:44:48,2012610,Combined,1,2,Food,6,8
88,56,0,1,33.423793,-111.940445,44,Fat Tuesday,3.5,9:19:05,2012610,Combined,1,4,Nightlife Spot,6,9
89,65,1,1,33.422646,-111.939756,27,Jack in the Box,1.5,9:24:40,2012610,Independent,1,2,Food,6,9
90,66,1,1,33.464817,-112.058801,50,Banner BUMCP Sleep Center,3.5,9:35:55,2012625,Independent,2,5,Professional & Other Places,2,9
91,67,1,1,33.46448400000001,-112.057278,50,Banner - University Medical Center Phoenix,3.0,10:10:00,2012625,Independent,2,5,Professional & Other Places,2,10
84,63,1,1,33.393252000000004,-111.977013,14,Subway,3.0,2:08:35,2012704,Independent,1,2,Food,9,2
92,68,1,1,33.39313,-111.976233,6,Vaqueros Carne Asada,3.5,2:30:46,2012704,Independent,1,2,Food,9,2
92,68,1,1,33.39313,-111.976233,6,Vaqueros Carne Asada,3.5,2:31:19,2012704,Independent,1,2,Food,9,2
72,58,1,1,33.406994,-111.940258,16,Walgreens,3.0,7:20:22,2012704,Independent,1,1,Shop & Service,9,7
78,33,0,1,33.4484,-112.071796,44,Bar Smith,3.5,8:38:43,2012704,Combined,2,4,Nightlife Spot,9,8
77,33,0,1,33.448462,-112.07197,43,Burn Nightclub,3.0,9:07:13,2012704,Combined,2,4,Nightlife Spot,9,9
79,33,0,1,33.448301,-112.071748,43,Burn Nightclub,3.0,9:49:02,2012704,Combined,2,4,Nightlife Spot,9,9
93,69,1,1,33.458504,-112.047902,6,Salsita's Mexican Food,3.0,10:37:15,2012704,Independent,2,2,Food,9,10
94,70,1,1,33.457618,-112.047348,6,Mariscos Playa Hermosa,4.5,10:51:02,2012704,Independent,2,2,Food,9,10
86,56,0,1,33.425224,-111.939778,26,Crave Cafe & Lounge,3.0,7:38:57,2012708,Combined,1,4,Nightlife Spot,5,7
87,56,0,1,33.425174,-111.939697,44,Mr. Mesquite Taqueria,4.0,8:02:35,2012708,Combined,1,4,Nightlife Spot,5,8
69,56,0,1,33.426134999999995,-111.939723,44,Aura,3.0,8:50:04,2012708,Combined,1,4,Nightlife Spot,5,8
89,65,1,1,33.422646,-111.939756,27,Jack in the Box,1.5,9:45:08,2012708,Independent,1,2,Food,5,9
95,71,1,1,33.423033000000004,-111.939273,37,eJoy Internet Cafe,2.5,10:13:33,2012708,Independent,1,2,Food,5,10
84,63,1,1,33.393252000000004,-111.977013,14,Subway,3.0,2:14:09,2012713,Independent,1,2,Food,2,2
84,63,1,1,33.393252000000004,-111.977013,14,Subway,3.0,2:14:24,2012713,Independent,1,2,Food,2,2
88,56,0,1,33.423793,-111.940445,44,Fat Tuesday,3.5,7:58:06,2012715,Combined,1,4,Nightlife Spot,4,7
68,56,0,1,33.426293,-111.940255,43,Hippies Cove,3.0,8:14:31,2012715,Combined,1,4,Nightlife Spot,4,8
96,56,0,1,33.425498,-111.939921,44,Big Bang - Dueling Piano Bar,4.0,9:02:05,2012715,Combined,1,4,Nightlife Spot,4,9
97,72,1,1,33.422998,-111.940218,22,Mellow Mushroom,3.5,9:45:03,2012715,Independent,1,2,Food,4,9
98,73,1,1,33.420771,-111.942594,44,Casey Moore's Oyster House,4.0,3:25:13,2012814,Independent,1,4,Nightlife Spot,3,3
74,56,0,1,33.426140999999994,-111.939955,45,RA Sushi Bar Restaurant,3.0,5:28:17,2012814,Combined,1,2,Food,3,5
75,56,0,1,33.426438,-111.939601,21,Rula Bula,4.0,6:59:14,2012814,Combined,1,2,Food,3,6
99,74,1,1,33.457059,-112.07093799999998,51,FilmBar,4.5,6:54:29,2012818,Independent,2,3,Arts & Entertainment,2,6
100,75,1,1,33.445766,-112.079748,52,The Pressroom,3.0,7:08:36,2012818,Independent,2,3,Arts & Entertainment,2,7
101,76,0,1,33.511015,-112.013547,37,Hava Java,4.0,0:12:00,20121101,Combined,4,2,Food,3,0
98,73,1,1,33.420771,-111.942594,44,Casey Moore's Oyster House,4.0,5:54:49,20121101,Independent,1,4,Nightlife Spot,3,5
69,56,0,1,33.426134999999995,-111.939723,44,Aura,3.0,7:19:00,20121101,Combined,1,4,Nightlife Spot,3,7
102,77,1,1,33.425236,-111.934949,53,Royal Coffee Bar and Roasting,4.5,15:10:13,20121105,Independent,1,2,Food,2,15
103,78,1,1,33.413292,-112.009099,54,Drury Inn & Suites Phoenix Airport,4.5,20:08:19,20121105,Independent,1,0,Travel & Transport,2,20
71,57,1,1,33.421576,-111.940247,16,CVS Pharmacy,2.0,1:22:36,20121106,Independent,1,1,Shop & Service,6,1
104,56,0,1,33.426211,-111.940317,26,BAC Lounge,3.0,5:38:30,20121106,Combined,1,4,Nightlife Spot,6,5
68,56,0,1,33.426293,-111.940255,43,Hippies Cove,3.0,5:40:06,20121106,Combined,1,4,Nightlife Spot,6,5
69,56,0,1,33.426134999999995,-111.939723,44,Aura,3.0,6:20:11,20121106,Combined,1,4,Nightlife Spot,6,6
105,79,1,1,33.421601,-111.953119,55,Harlow's Cafe,4.0,15:26:41,20121106,Independent,1,2,Food,6,15
106,80,1,1,33.421629,-111.951897,37,Starbucks,3.5,15:27:22,20121106,Independent,1,2,Food,6,15
71,57,1,1,33.421576,-111.940247,16,CVS Pharmacy,2.0,15:20:49,20121107,Independent,1,1,Shop & Service,2,15
103,78,1,1,33.413292,-112.009099,54,Drury Inn & Suites Phoenix Airport,4.5,17:53:26,20121107,Independent,1,0,Travel & Transport,2,17
103,78,1,1,33.413292,-112.009099,54,Drury Inn & Suites Phoenix Airport,4.5,16:51:57,20121111,Independent,1,0,Travel & Transport,2,16
