,Unnamed: 0.1,Unnamed: 0,User_id,Location_id,POI_id,POI_Type,final_time,TimeStamp,Latitude,Longitude,Category,Combined_Category,stars,hour,day,Category_id,clusters
28,28,52,2,1177,16,Combined,2013-03-20 11:21:57+00:00,Wed Mar 20 16:21:57 +0000 2013,35.340297,-80.764842,Food,Food,3.5,11,2013-03-20,14,0
29,29,53,2,1178,17,Combined,2013-03-20 18:35:01+00:00,Wed Mar 20 23:35:01 +0000 2013,35.088073,-80.86281899999999,Sports Bar,Nightlife Spot,2.5,18,2013-03-20,15,0
30,30,54,2,18,18,Independent,2013-03-20 21:43:31+00:00,Thu Mar 21 02:43:31 +0000 2013,35.304152,-80.7516,Hotel,Travel Spot,2.5,21,2013-03-20,10,0
31,31,55,2,19,19,Independent,2013-08-12 18:15:48+00:00,Mon Aug 12 23:15:48 +0000 2013,35.15738,-80.82996,Hotel,Travel Spot,3.5,18,2013-08-12,10,0
32,32,56,2,20,20,Independent,2013-08-12 18:18:04+00:00,Mon Aug 12 23:18:04 +0000 2013,35.152989,-80.836863,Hotel Bar,Nightlife Spot,4.0,18,2013-08-12,16,0
33,33,82,3,1179,21,Combined,2012-04-04 13:28:10+00:00,Wed Apr 04 18:28:10 +0000 2012,35.053292,-80.848558,Grocery Store,Food,4.0,13,2012-04-04,17,0
34,34,83,3,22,22,Independent,2012-04-04 14:16:57+00:00,Wed Apr 04 19:16:57 +0000 2012,35.090421,-80.85618199999998,Hardware Store,Shop,2.0,14,2012-04-04,18,0
35,35,84,3,23,23,Independent,2012-04-04 14:23:05+00:00,Wed Apr 04 19:23:05 +0000 2012,35.086449,-80.889071,Post Office,Shop,2.5,14,2012-04-04,19,0
36,36,85,3,1175,8,Combined,2012-04-05 05:10:45+00:00,Thu Apr 05 10:10:45 +0000 2012,35.220319,-80.943596,Fast Food Restaurant,Food,2.5,5,2012-04-05,20,0
37,37,86,3,1175,8,Combined,2012-04-05 05:11:41+00:00,Thu Apr 05 10:11:41 +0000 2012,35.22045,-80.943747,Sandwich Place,Food,2.0,5,2012-04-05,21,0
38,38,88,3,24,24,Independent,2012-04-10 23:48:08+00:00,Wed Apr 11 04:48:08 +0000 2012,35.085959,-80.886824,Diner,Food,4.5,23,2012-04-10,22,0
39,39,89,3,23,23,Independent,2012-04-10 23:48:28+00:00,Wed Apr 11 04:48:28 +0000 2012,35.086449,-80.889071,Post Office,Shop,2.5,23,2012-04-10,19,0
40,40,91,3,1180,25,Combined,2012-04-13 11:53:57+00:00,Fri Apr 13 16:53:57 +0000 2012,35.10671,-80.877528,Shoe Store,Shop,3.0,11,2012-04-13,23,0
41,41,92,3,1180,25,Combined,2012-04-13 11:54:18+00:00,Fri Apr 13 16:54:18 +0000 2012,35.10671,-80.877528,Shoe Store,Shop,3.0,11,2012-04-13,23,0
42,42,93,3,24,24,Independent,2012-04-14 11:09:21+00:00,Sat Apr 14 16:09:21 +0000 2012,35.085959,-80.886824,Diner,Food,4.5,11,2012-04-14,22,0
43,43,94,3,1181,26,Combined,2012-04-14 12:00:13+00:00,Sat Apr 14 17:00:13 +0000 2012,35.08744,-80.877847,Bank,Shop,2.0,12,2012-04-14,24,0
44,44,95,3,27,27,Independent,2012-04-14 12:05:01+00:00,Sat Apr 14 17:05:01 +0000 2012,35.094817,-80.876631,Pet Store,Shop,4.0,12,2012-04-14,25,0
45,45,96,3,23,23,Independent,2012-04-14 12:53:55+00:00,Sat Apr 14 17:53:55 +0000 2012,35.086449,-80.889071,Post Office,Shop,2.5,12,2012-04-14,19,0
46,46,99,3,1175,8,Combined,2012-04-17 11:40:37+00:00,Tue Apr 17 16:40:37 +0000 2012,35.22026599999999,-80.944541,American Restaurant,Food,2.5,11,2012-04-17,26,0
47,47,100,3,1175,8,Combined,2012-04-17 11:41:01+00:00,Tue Apr 17 16:41:01 +0000 2012,35.22026599999999,-80.944541,American Restaurant,Food,2.5,11,2012-04-17,26,0
48,48,102,3,22,22,Independent,2012-04-22 11:23:37+00:00,Sun Apr 22 16:23:37 +0000 2012,35.090421,-80.85618199999998,Hardware Store,Shop,2.0,11,2012-04-22,18,0
49,49,103,3,28,28,Independent,2012-04-22 12:06:51+00:00,Sun Apr 22 17:06:51 +0000 2012,35.087115999999995,-80.849719,Burger Joint,Food,2.0,12,2012-04-22,27,0
50,50,104,3,23,23,Independent,2012-04-23 09:14:08+00:00,Mon Apr 23 14:14:08 +0000 2012,35.086449,-80.889071,Post Office,Shop,2.5,9,2012-04-23,19,0
51,51,105,3,1181,26,Combined,2012-04-23 09:30:49+00:00,Mon Apr 23 14:30:49 +0000 2012,35.08744,-80.877847,Bank,Shop,2.0,9,2012-04-23,24,0
52,52,106,3,27,27,Independent,2012-04-23 09:31:22+00:00,Mon Apr 23 14:31:22 +0000 2012,35.094817,-80.876631,Pet Store,Shop,4.0,9,2012-04-23,25,0
53,53,107,3,29,29,Independent,2012-04-23 09:53:14+00:00,Mon Apr 23 14:53:14 +0000 2012,35.13431,-80.893661,Government Building,School&Office,2.0,9,2012-04-23,28,0
54,54,108,3,1180,25,Combined,2012-04-23 10:10:50+00:00,Mon Apr 23 15:10:50 +0000 2012,35.105814,-80.880052,Miscellaneous Shop,Shop,3.5,10,2012-04-23,29,0
55,55,109,3,1180,25,Combined,2012-04-23 10:27:04+00:00,Mon Apr 23 15:27:04 +0000 2012,35.107286,-80.88046800000002,Burger Joint,Food,1.5,10,2012-04-23,27,0
56,56,110,3,23,23,Independent,2012-04-29 04:40:05+00:00,Sun Apr 29 09:40:05 +0000 2012,35.086449,-80.889071,Post Office,Shop,2.5,4,2012-04-29,19,0
57,57,111,3,30,30,Independent,2012-04-29 15:54:44+00:00,Sun Apr 29 20:54:44 +0000 2012,35.056533,-80.813948,Church,Outdoor,4.0,15,2012-04-29,30,0
58,58,115,3,30,30,Independent,2012-05-06 16:00:36+00:00,Sun May 06 21:00:36 +0000 2012,35.056533,-80.813948,Church,Outdoor,4.0,16,2012-05-06,30,0
59,59,116,3,31,31,Independent,2012-05-06 18:18:25+00:00,Sun May 06 23:18:25 +0000 2012,35.079601000000004,-80.828905,Italian Restaurant,Food,4.0,18,2012-05-06,31,0
60,60,117,3,32,32,Independent,2012-05-09 12:03:09+00:00,Wed May 09 17:03:09 +0000 2012,35.088211,-80.88663000000003,Automotive Shop,Shop,5.0,12,2012-05-09,32,0
61,61,118,3,23,23,Independent,2012-05-09 12:47:45+00:00,Wed May 09 17:47:45 +0000 2012,35.086449,-80.889071,Post Office,Shop,2.5,12,2012-05-09,19,0
62,62,119,3,1181,26,Combined,2012-05-09 13:19:00+00:00,Wed May 09 18:19:00 +0000 2012,35.086628999999995,-80.879738,Paper / Office Supplies Store,Shop,3.0,13,2012-05-09,13,0
63,63,121,3,1181,26,Combined,2012-05-11 14:57:29+00:00,Fri May 11 19:57:29 +0000 2012,35.089039,-80.87854399999998,Electronics Store,Shop,2.5,14,2012-05-11,33,0
64,64,122,3,33,33,Independent,2012-05-11 20:22:06+00:00,Sat May 12 01:22:06 +0000 2012,35.055775,-80.85324,Burger Joint,Food,4.0,20,2012-05-11,27,0
65,65,123,3,34,34,Independent,2012-05-12 12:13:45+00:00,Sat May 12 17:13:45 +0000 2012,35.090466,-80.869519,Fast Food Restaurant,Food,2.0,12,2012-05-12,20,0
66,66,124,3,23,23,Independent,2012-05-12 13:04:27+00:00,Sat May 12 18:04:27 +0000 2012,35.086449,-80.889071,Post Office,Shop,2.5,13,2012-05-12,19,0
67,67,125,3,35,35,Independent,2012-05-12 13:13:14+00:00,Sat May 12 18:13:14 +0000 2012,35.092536,-80.88549300000003,Hardware Store,Shop,4.0,13,2012-05-12,18,0
68,68,126,3,22,22,Independent,2012-05-12 16:25:46+00:00,Sat May 12 21:25:46 +0000 2012,35.090421,-80.85618199999998,Hardware Store,Shop,2.0,16,2012-05-12,18,0
69,69,128,3,36,36,Independent,2012-05-16 14:13:28+00:00,Wed May 16 19:13:28 +0000 2012,35.089451000000004,-80.86871500000002,Burger Joint,Food,1.5,14,2012-05-16,27,0
70,70,129,3,23,23,Independent,2012-05-16 14:33:48+00:00,Wed May 16 19:33:48 +0000 2012,35.086449,-80.889071,Post Office,Shop,2.5,14,2012-05-16,19,0
71,71,130,3,23,23,Independent,2012-05-17 14:48:17+00:00,Thu May 17 19:48:17 +0000 2012,35.086449,-80.889071,Post Office,Shop,2.5,14,2012-05-17,19,0
72,72,131,3,1179,21,Combined,2012-05-17 15:41:43+00:00,Thu May 17 20:41:43 +0000 2012,35.053292,-80.848558,Grocery Store,Food,4.0,15,2012-05-17,17,0
73,73,140,3,32,32,Independent,2012-06-06 12:10:59+00:00,Wed Jun 06 17:10:59 +0000 2012,35.088211,-80.88663000000003,Automotive Shop,Shop,5.0,12,2012-06-06,32,0
74,74,141,3,37,37,Independent,2012-06-06 13:43:17+00:00,Wed Jun 06 18:43:17 +0000 2012,35.112661,-80.920576,Fast Food Restaurant,Food,2.5,13,2012-06-06,20,0
75,75,142,3,23,23,Independent,2012-06-06 15:19:42+00:00,Wed Jun 06 20:19:42 +0000 2012,35.086449,-80.889071,Post Office,Shop,2.5,15,2012-06-06,19,0
76,76,143,3,23,23,Independent,2012-06-07 14:54:52+00:00,Thu Jun 07 19:54:52 +0000 2012,35.086449,-80.889071,Post Office,Shop,2.5,14,2012-06-07,19,0
77,77,144,3,27,27,Independent,2012-06-07 15:01:15+00:00,Thu Jun 07 20:01:15 +0000 2012,35.094817,-80.876631,Pet Store,Shop,4.0,15,2012-06-07,25,0
78,78,145,3,23,23,Independent,2012-06-09 12:57:27+00:00,Sat Jun 09 17:57:27 +0000 2012,35.086449,-80.889071,Post Office,Shop,2.5,12,2012-06-09,19,0
79,79,146,3,38,38,Independent,2012-06-09 17:36:56+00:00,Sat Jun 09 22:36:56 +0000 2012,35.064718,-80.740521,Park,Outdoor,4.0,17,2012-06-09,34,0
80,80,148,3,1179,21,Combined,2012-06-12 15:43:27+00:00,Tue Jun 12 20:43:27 +0000 2012,35.053292,-80.848558,Grocery Store,Food,4.0,15,2012-06-12,17,0
81,81,149,3,23,23,Independent,2012-06-12 16:35:57+00:00,Tue Jun 12 21:35:57 +0000 2012,35.086449,-80.889071,Post Office,Shop,2.5,16,2012-06-12,19,0
82,82,150,3,27,27,Independent,2012-06-12 16:52:14+00:00,Tue Jun 12 21:52:14 +0000 2012,35.094817,-80.876631,Pet Store,Shop,4.0,16,2012-06-12,25,0
83,83,153,3,39,39,Independent,2012-06-27 02:06:47+00:00,Wed Jun 27 07:06:47 +0000 2012,35.14941,-80.896589,Fast Food Restaurant,Food,1.5,2,2012-06-27,20,0
84,84,154,3,1182,40,Combined,2012-06-27 02:07:41+00:00,Wed Jun 27 07:07:41 +0000 2012,35.163301000000004,-80.887635,Fast Food Restaurant,Food,2.5,2,2012-06-27,20,0
85,85,156,3,41,41,Independent,2012-07-08 12:53:52+00:00,Sun Jul 08 17:53:52 +0000 2012,35.074293,-80.877539,Miscellaneous Shop,Shop,3.5,12,2012-07-08,29,0
86,86,157,3,23,23,Independent,2012-07-08 12:58:24+00:00,Sun Jul 08 17:58:24 +0000 2012,35.086449,-80.889071,Post Office,Shop,2.5,12,2012-07-08,19,0
87,87,158,3,1179,21,Combined,2012-07-08 13:21:45+00:00,Sun Jul 08 18:21:45 +0000 2012,35.053292,-80.848558,Grocery Store,Food,4.0,13,2012-07-08,17,0
88,88,159,3,42,42,Independent,2012-07-22 09:03:36+00:00,Sun Jul 22 14:03:36 +0000 2012,35.054269,-80.84646500000002,Automotive Shop,Shop,2.0,9,2012-07-22,32,0
89,89,160,3,1179,21,Combined,2012-07-22 09:04:59+00:00,Sun Jul 22 14:04:59 +0000 2012,35.053292,-80.848558,Grocery Store,Food,4.0,9,2012-07-22,17,0
90,90,162,3,42,42,Independent,2012-07-29 11:52:33+00:00,Sun Jul 29 16:52:33 +0000 2012,35.054269,-80.84646500000002,Automotive Shop,Shop,2.0,11,2012-07-29,32,0
91,91,163,3,30,30,Independent,2012-07-29 16:05:34+00:00,Sun Jul 29 21:05:34 +0000 2012,35.056533,-80.813948,Church,Outdoor,4.0,16,2012-07-29,30,0
92,92,165,3,36,36,Independent,2012-08-11 06:28:44+00:00,Sat Aug 11 11:28:44 +0000 2012,35.089451000000004,-80.86871500000002,Burger Joint,Food,1.5,6,2012-08-11,27,0
93,93,166,3,1183,43,Combined,2012-08-11 19:27:29+00:00,Sun Aug 12 00:27:29 +0000 2012,35.059244,-80.813643,Ramen /  Noodle House,Food,3.5,19,2012-08-11,35,0
94,94,167,3,23,23,Independent,2012-08-12 15:11:50+00:00,Sun Aug 12 20:11:50 +0000 2012,35.086449,-80.889071,Post Office,Shop,2.5,15,2012-08-12,19,0
95,95,168,3,22,22,Independent,2012-08-12 17:36:58+00:00,Sun Aug 12 22:36:58 +0000 2012,35.090421,-80.85618199999998,Hardware Store,Shop,2.0,17,2012-08-12,18,0
96,96,173,3,23,23,Independent,2012-10-12 06:40:25+00:00,Fri Oct 12 11:40:25 +0000 2012,35.086449,-80.889071,Post Office,Shop,2.5,6,2012-10-12,19,0
97,97,174,3,44,44,Independent,2012-10-12 06:52:34+00:00,Fri Oct 12 11:52:34 +0000 2012,35.136701,-80.937797,Automotive Shop,Shop,2.5,6,2012-10-12,32,0
98,98,178,3,45,45,Independent,2012-10-31 09:49:33+00:00,Wed Oct 31 14:49:33 +0000 2012,35.042390999999995,-80.84751700000002,Drugstore / Pharmacy,Shop,2.5,9,2012-10-31,11,0
99,99,179,3,23,23,Independent,2012-10-31 10:04:03+00:00,Wed Oct 31 15:04:03 +0000 2012,35.086449,-80.889071,Post Office,Shop,2.5,10,2012-10-31,19,0
100,100,180,3,1184,46,Combined,2012-10-31 10:16:25+00:00,Wed Oct 31 15:16:25 +0000 2012,35.082128999999995,-80.876713,Mall,Shop,3.5,10,2012-10-31,36,0
101,101,183,3,1184,46,Combined,2012-11-10 15:59:42+00:00,Sat Nov 10 20:59:42 +0000 2012,35.081045,-80.877163,Sporting Goods Shop,Shop,4.0,15,2012-11-10,37,0
102,102,184,3,23,23,Independent,2012-11-10 21:09:50+00:00,Sun Nov 11 02:09:50 +0000 2012,35.086449,-80.889071,Post Office,Shop,2.5,21,2012-11-10,19,0
103,103,185,3,23,23,Independent,2012-11-16 14:13:07+00:00,Fri Nov 16 19:13:07 +0000 2012,35.086449,-80.889071,Post Office,Shop,2.5,14,2012-11-16,19,0
104,104,186,3,1185,47,Combined,2012-11-16 14:38:56+00:00,Fri Nov 16 19:38:56 +0000 2012,35.08673,-80.847101,Pet Store,Shop,4.0,14,2012-11-16,25,0
105,105,187,3,1175,8,Combined,2012-11-20 14:59:53+00:00,Tue Nov 20 19:59:53 +0000 2012,35.220319,-80.943596,Fast Food Restaurant,Food,2.5,14,2012-11-20,20,0
106,106,188,3,1175,8,Combined,2012-11-20 19:59:33+00:00,Wed Nov 21 00:59:33 +0000 2012,35.224246,-80.940303,Mexican Restaurant,Food,2.5,19,2012-11-20,38,0
107,107,189,3,1175,8,Combined,2012-11-20 19:59:50+00:00,Wed Nov 21 00:59:50 +0000 2012,35.224246,-80.940303,Mexican Restaurant,Food,2.5,19,2012-11-20,38,0
108,108,190,3,24,24,Independent,2012-11-24 12:52:06+00:00,Sat Nov 24 17:52:06 +0000 2012,35.085959,-80.886824,Diner,Food,4.5,12,2012-11-24,22,0
109,109,191,3,23,23,Independent,2012-11-24 13:27:14+00:00,Sat Nov 24 18:27:14 +0000 2012,35.086449,-80.889071,Post Office,Shop,2.5,13,2012-11-24,19,0
110,110,192,3,1178,17,Combined,2012-11-24 13:47:14+00:00,Sat Nov 24 18:47:14 +0000 2012,35.088815000000004,-80.860057,Miscellaneous Shop,Shop,3.5,13,2012-11-24,29,0
111,111,194,3,23,23,Independent,2012-11-30 14:05:34+00:00,Fri Nov 30 19:05:34 +0000 2012,35.086449,-80.889071,Post Office,Shop,2.5,14,2012-11-30,19,0
112,112,195,3,22,22,Independent,2012-11-30 18:16:47+00:00,Fri Nov 30 23:16:47 +0000 2012,35.090421,-80.85618199999998,Hardware Store,Shop,2.0,18,2012-11-30,18,0
113,113,199,3,23,23,Independent,2012-12-07 01:28:48+00:00,Fri Dec 07 06:28:48 +0000 2012,35.086449,-80.889071,Post Office,Shop,2.5,1,2012-12-07,19,0
114,114,200,3,37,37,Independent,2012-12-07 12:17:03+00:00,Fri Dec 07 17:17:03 +0000 2012,35.112661,-80.920576,Fast Food Restaurant,Food,2.5,12,2012-12-07,20,0
115,115,202,3,1185,47,Combined,2012-12-09 13:09:35+00:00,Sun Dec 09 18:09:35 +0000 2012,35.08673,-80.847101,Pet Store,Shop,4.0,13,2012-12-09,25,0
116,116,203,3,1183,43,Combined,2012-12-09 18:52:11+00:00,Sun Dec 09 23:52:11 +0000 2012,35.058819,-80.81559200000002,Miscellaneous Shop,Shop,3.5,18,2012-12-09,29,0
117,117,204,3,24,24,Independent,2012-12-15 13:34:35+00:00,Sat Dec 15 18:34:35 +0000 2012,35.085959,-80.886824,Diner,Food,4.5,13,2012-12-15,22,0
118,118,205,3,41,41,Independent,2012-12-15 15:22:08+00:00,Sat Dec 15 20:22:08 +0000 2012,35.074293,-80.877539,Miscellaneous Shop,Shop,3.5,15,2012-12-15,29,0
119,119,206,3,31,31,Independent,2012-12-15 19:22:05+00:00,Sun Dec 16 00:22:05 +0000 2012,35.079601000000004,-80.828905,Italian Restaurant,Food,4.0,19,2012-12-15,31,0
120,120,208,3,24,24,Independent,2013-01-04 12:52:14+00:00,Fri Jan 04 17:52:14 +0000 2013,35.085959,-80.886824,Diner,Food,4.5,12,2013-01-04,22,0
121,121,209,3,24,24,Independent,2013-01-04 12:52:25+00:00,Fri Jan 04 17:52:25 +0000 2013,35.085959,-80.886824,Diner,Food,4.5,12,2013-01-04,22,0
122,122,211,3,23,23,Independent,2013-01-12 13:13:45+00:00,Sat Jan 12 18:13:45 +0000 2013,35.086449,-80.889071,Post Office,Shop,2.5,13,2013-01-12,19,0
123,123,212,3,1185,47,Combined,2013-01-12 14:26:59+00:00,Sat Jan 12 19:26:59 +0000 2013,35.08673,-80.847101,Pet Store,Shop,4.0,14,2013-01-12,25,0
124,124,213,3,1186,48,Combined,2013-01-12 15:24:00+00:00,Sat Jan 12 20:24:00 +0000 2013,35.130752,-80.711596,Music Store,Shop,3.0,15,2013-01-12,39,0
125,125,216,3,49,49,Independent,2013-02-27 14:46:01+00:00,Wed Feb 27 19:46:01 +0000 2013,35.057838000000004,-80.850577,Bank,Shop,2.0,14,2013-02-27,24,0
126,126,217,3,50,50,Independent,2013-02-27 14:53:09+00:00,Wed Feb 27 19:53:09 +0000 2013,35.091303,-80.845414,Post Office,Shop,3.5,14,2013-02-27,19,0
127,127,218,3,1181,26,Combined,2013-02-27 15:07:04+00:00,Wed Feb 27 20:07:04 +0000 2013,35.089039,-80.87854399999998,Electronics Store,Shop,2.5,15,2013-02-27,33,0
128,128,219,3,1185,47,Combined,2013-02-27 20:35:24+00:00,Thu Feb 28 01:35:24 +0000 2013,35.08684,-80.848869,Wings Joint,Food,4.0,20,2013-02-27,40,0
129,129,231,4,1175,8,Combined,2012-04-09 07:04:41+00:00,Mon Apr 09 12:04:41 +0000 2012,35.218605,-80.94241600000002,Coffee Shop,Drink,2.0,7,2012-04-09,12,0
130,130,232,4,1175,8,Combined,2012-04-09 07:06:00+00:00,Mon Apr 09 12:06:00 +0000 2012,35.218093,-80.942245,Seafood Restaurant,Food,2.5,7,2012-04-09,41,0
131,131,233,4,51,51,Independent,2012-04-09 09:31:50+00:00,Mon Apr 09 14:31:50 +0000 2012,35.213771,-80.94331700000002,Plane,Travel Spot,3.0,9,2012-04-09,42,0
132,132,234,4,1175,8,Combined,2012-04-09 10:45:07+00:00,Mon Apr 09 15:45:07 +0000 2012,35.219276,-80.942545,Burger Joint,Food,3.0,10,2012-04-09,27,0
133,133,235,4,1175,8,Combined,2012-04-09 10:46:09+00:00,Mon Apr 09 15:46:09 +0000 2012,35.220217,-80.943687,Mexican Restaurant,Food,2.0,10,2012-04-09,38,0
134,134,236,4,51,51,Independent,2012-04-10 05:24:25+00:00,Tue Apr 10 10:24:25 +0000 2012,35.213771,-80.94331700000002,Plane,Travel Spot,3.0,5,2012-04-10,42,0
135,135,237,4,1175,8,Combined,2012-04-10 10:02:38+00:00,Tue Apr 10 15:02:38 +0000 2012,35.220217,-80.943687,Mexican Restaurant,Food,2.0,10,2012-04-10,38,0
136,136,238,4,1175,8,Combined,2012-04-10 10:02:58+00:00,Tue Apr 10 15:02:58 +0000 2012,35.22045,-80.943747,Sandwich Place,Food,2.0,10,2012-04-10,21,0
137,137,239,4,1175,8,Combined,2012-04-11 06:00:15+00:00,Wed Apr 11 11:00:15 +0000 2012,35.218605,-80.94241600000002,Coffee Shop,Drink,2.0,6,2012-04-11,12,0
138,138,240,4,51,51,Independent,2012-04-11 11:18:21+00:00,Wed Apr 11 16:18:21 +0000 2012,35.213771,-80.94331700000002,Plane,Travel Spot,3.0,11,2012-04-11,42,0
139,139,241,4,1175,8,Combined,2012-04-12 13:02:18+00:00,Thu Apr 12 18:02:18 +0000 2012,35.218605,-80.94241600000002,Coffee Shop,Drink,2.0,13,2012-04-12,12,0
140,140,242,4,1175,8,Combined,2012-04-12 13:02:43+00:00,Thu Apr 12 18:02:43 +0000 2012,35.218093,-80.942245,Seafood Restaurant,Food,2.5,13,2012-04-12,41,0
141,141,243,4,1175,8,Combined,2012-04-12 19:27:44+00:00,Fri Apr 13 00:27:44 +0000 2012,35.220085,-80.943374,Mexican Restaurant,Food,2.0,19,2012-04-12,38,0
142,142,244,4,51,51,Independent,2012-04-12 19:28:43+00:00,Fri Apr 13 00:28:43 +0000 2012,35.213771,-80.94331700000002,Plane,Travel Spot,3.0,19,2012-04-12,42,0
143,143,245,4,1175,8,Combined,2012-05-05 05:22:19+00:00,Sat May 05 10:22:19 +0000 2012,35.218242,-80.945463,Fried Chicken Joint,Food,3.5,5,2012-05-05,9,0
144,144,246,4,1175,8,Combined,2012-05-05 05:23:31+00:00,Sat May 05 10:23:31 +0000 2012,35.218058,-80.94519,Coffee Shop,Drink,3.0,5,2012-05-05,12,0
