Item_id,POI_Type,stars,L2_Category_name,clusters
115,0,4.0,12,3
116,1,4.0,61,3
117,0,3.5,20,0
118,0,4.0,19,0
52,1,4.0,61,3
119,0,2.5,54,4
106,1,3.0,19,3
13,1,3.0,29,4
120,0,3.5,22,5
121,0,1.5,33,5
100,1,4.0,33,4
122,0,3.5,39,0
123,1,3.0,69,4
124,0,4.0,19,4
125,1,2.5,69,4
13,1,2.5,27,4
126,1,4.0,61,4
125,1,4.0,28,4
125,1,4.0,70,4
52,1,2.0,41,3
127,0,4.5,71,3
125,1,3.0,72,4
128,0,3.5,23,3
129,0,3.5,4,0
130,0,3.0,73,0
131,0,3.5,61,0
132,0,4.0,65,1
38,1,3.0,61,6
133,0,4.0,74,0
134,0,2.5,11,5
135,0,3.5,75,5
136,0,2.0,61,5
137,1,2.0,61,9
137,1,3.0,76,9
138,1,3.0,28,9
137,1,2.5,19,9
139,0,3.5,68,4
140,0,2.0,27,3
141,0,3.5,77,0
142,0,3.0,78,0
143,0,1.5,79,0
144,0,3.0,32,8
145,0,4.0,80,0
116,1,3.5,36,3
146,0,2.5,75,6
147,0,1.5,9,3
148,1,4.0,47,3
52,1,3.5,81,3
149,1,3.0,19,3
150,0,1.5,82,3
151,0,3.0,20,3
152,0,1.5,9,3
52,1,3.0,31,3
153,0,3.0,83,0
154,0,3.5,47,3
155,0,2.5,9,3
156,0,3.5,84,2
157,0,3.5,19,3
158,0,4.5,85,2
159,0,4.5,86,2
160,0,2.0,32,4
161,0,2.5,10,8
162,0,3.5,75,5
7,1,3.0,87,2
163,0,3.0,43,2
7,1,2.0,15,2
38,1,4.0,75,6
38,1,3.5,88,6
28,1,3.5,89,6
38,1,3.0,27,6
18,1,4.0,61,6
39,1,2.5,29,6
28,1,3.5,61,6
39,1,3.5,26,6
39,1,3.0,61,6
164,0,3.5,77,0
165,1,3.5,27,7
166,0,2.5,90,0
165,1,1.5,27,7
167,0,4.0,91,1
39,1,2.5,27,6
168,0,3.0,9,5
169,1,3.5,9,5
170,0,3.0,27,5
169,1,3.5,27,5
169,1,3.5,24,5
169,1,3.5,7,5
169,1,3.5,69,5
54,1,4.0,19,8
171,0,3.5,20,7
172,0,2.5,19,6
173,0,2.5,26,7
18,1,3.0,13,6
174,0,4.5,12,1
175,0,3.5,53,6
116,1,3.0,41,3
176,0,1.5,31,4
177,0,3.0,20,5
178,1,4.0,19,5
126,1,2.5,41,4
179,0,2.5,73,4
180,0,3.0,19,4
181,0,2.0,27,4
182,0,2.5,92,4
183,0,2.5,27,4
184,0,3.0,93,4
185,0,4.0,61,4
186,0,2.0,10,4
187,0,4.5,94,4
188,0,4.0,95,4
189,0,2.5,21,4
190,0,4.0,19,4
191,0,4.0,96,4
192,0,3.5,37,4
193,0,1.0,97,3
194,0,2.5,31,3
195,0,3.5,94,4
123,1,3.0,28,4
196,0,3.0,15,4
197,1,3.0,41,9
197,1,5.0,98,9
198,0,2.5,32,4
199,0,4.0,52,4
200,0,3.0,7,4
201,0,4.5,17,3
202,1,3.5,59,3
203,0,3.5,7,3
204,0,3.5,55,4
205,0,3.5,29,4
206,0,3.0,99,3
13,1,3.0,71,4
13,1,2.5,26,4
207,0,3.5,18,4
208,0,3.0,15,0
209,0,4.0,2,0
210,0,3.5,100,0
178,1,3.0,14,5
178,1,4.0,45,5
211,0,2.0,65,1
212,0,3.5,12,1
213,0,3.5,44,5
214,0,4.0,33,5
215,0,2.0,32,5
216,1,3.0,26,5
217,0,2.5,101,5
169,1,2.5,7,5
17,1,4.0,12,5
218,0,3.0,10,5
219,0,3.5,102,5
220,0,3.5,96,5
221,1,4.5,103,1
222,1,2.5,24,5
223,0,3.0,19,5
224,0,4.0,91,0
225,1,3.5,28,0
225,1,4.0,59,0
78,1,4.0,47,0
226,0,3.5,12,0
227,0,3.5,104,5
228,1,3.0,15,0
229,1,3.5,36,0
230,0,3.5,62,8
231,1,2.5,61,8
232,0,2.5,12,7
233,0,4.5,19,7
234,0,4.0,28,7
235,0,2.0,27,0
236,0,3.0,28,3
237,0,3.0,10,0
238,1,4.0,61,3
238,1,3.0,19,3
239,0,3.5,7,7
240,0,4.0,32,3
241,0,3.5,11,3
242,0,3.5,19,3
243,0,3.5,46,3
244,1,4.0,19,8
245,0,4.0,105,3
238,1,3.0,24,3
22,1,4.5,106,0
225,1,4.0,107,0
246,0,2.5,44,3
247,0,3.5,108,0
248,0,4.5,38,0
249,0,4.0,12,3
250,0,1.5,20,7
34,1,3.5,53,7
251,0,3.5,28,0
252,0,4.5,45,3
253,0,4.5,105,0
7,1,4.0,91,2
254,0,4.5,109,4
137,1,3.0,53,9
137,1,3.0,41,9
255,0,4.0,110,9
64,1,4.0,111,0
256,0,2.5,112,3
257,0,3.5,4,3
258,0,2.5,32,3
259,0,3.0,84,7
67,1,3.0,49,0
260,0,3.5,113,3
82,1,3.0,26,3
261,0,2.5,31,3
82,1,3.0,27,3
262,0,4.5,18,1
263,0,3.0,65,6
165,1,4.0,19,7
116,1,3.0,101,3
82,1,3.0,11,3
264,0,2.0,15,3
265,0,3.0,28,3
266,0,2.0,51,3
267,0,4.0,33,3
268,0,4.0,52,9
269,0,4.0,29,7
270,0,4.5,7,0
202,1,4.0,49,3
106,1,2.0,37,3
225,1,3.5,4,0
21,1,4.0,114,0
52,1,3.5,40,3
271,1,4.0,63,3
272,0,2.0,112,0
4,1,3.5,115,0
273,0,4.0,25,0
274,0,2.0,27,3
18,1,4.0,29,6
275,0,4.0,38,1
149,1,4.0,37,3
276,0,4.5,52,4
277,0,4.5,116,0
278,0,2.5,21,3
78,1,3.5,36,0
106,1,3.5,96,3
279,0,3.5,21,0
280,0,3.5,37,7
281,0,4.5,113,0
82,1,2.5,51,3
282,0,2.5,29,3
283,1,4.0,15,1
284,0,4.5,38,7
4,1,3.5,117,0
228,1,3.5,118,0
285,0,4.0,9,0
286,0,2.5,77,6
287,0,3.0,77,8
288,0,2.0,65,1
289,0,3.0,77,0
290,0,2.5,119,0
291,1,4.5,105,1
292,0,3.5,114,6
293,0,4.0,93,6
294,0,3.0,21,8
295,0,4.5,93,8
296,0,4.5,21,6
38,1,2.5,32,6
297,0,3.0,9,0
298,0,3.5,120,0
299,0,2.5,60,5
300,0,2.5,65,5
21,1,3.5,4,0
21,1,3.5,47,0
21,1,2.0,33,0
13,1,3.0,96,4
301,0,3.0,10,2
125,1,2.0,37,4
302,0,4.5,121,0
13,1,3.0,27,4
303,0,3.0,122,0
304,0,2.5,27,2
305,0,4.0,63,0
125,1,2.0,27,4
306,0,3.0,65,7
125,1,3.0,76,4
307,0,3.5,123,2
100,1,4.0,19,4
308,0,2.0,10,3
309,0,2.0,21,0
310,0,4.0,124,2
311,0,4.0,37,1
312,0,4.0,107,0
313,0,3.5,24,1
314,0,4.0,122,0
315,0,4.0,25,0
78,1,3.5,19,0
228,1,4.0,125,0
316,0,3.0,126,0
125,1,2.5,24,4
225,1,4.5,5,0
64,1,3.0,31,0
317,0,3.5,33,0
318,0,2.0,10,0
225,1,3.0,7,0
319,0,2.0,27,0
78,1,3.0,27,0
320,0,4.0,59,0
78,1,2.5,31,0
321,0,3.0,47,0
322,0,2.0,84,0
323,0,2.5,127,0
324,0,2.5,42,1
325,0,2.0,63,1
326,0,3.0,19,0
327,0,4.0,2,0
328,0,2.0,32,9
329,0,3.5,36,0
330,0,4.5,32,0
331,0,3.0,11,0
13,1,3.0,32,4
332,0,4.0,7,0
333,0,3.0,128,0
334,0,4.5,29,0
335,0,5.0,57,0
2,1,2.5,29,0
22,1,3.5,37,0
225,1,4.0,123,0
78,1,2.0,111,0
336,0,5.0,75,0
337,0,1.5,27,0
228,1,2.0,123,0
338,1,3.5,129,0
339,0,3.0,29,0
340,0,3.5,120,0
341,0,3.0,10,4
225,1,3.0,12,0
342,0,3.5,12,0
343,0,2.0,130,2
126,1,2.0,13,4
344,0,2.5,27,4
345,0,3.5,9,5
346,0,4.5,128,8
347,0,3.5,129,5
348,0,2.5,51,8
349,0,3.5,28,5
169,1,1.5,32,5
169,1,2.5,31,5
350,0,4.0,131,8
351,0,4.0,132,1
352,0,2.5,19,1
353,0,4.0,133,5
169,1,4.5,69,5
354,0,2.5,28,8
355,0,3.5,19,1
356,0,4.0,19,1
116,1,2.5,76,3
357,0,2.0,13,1
358,0,3.0,27,8
359,0,1.0,33,0
360,0,3.5,35,0
169,1,3.5,134,5
361,0,3.0,9,3
362,0,4.0,32,3
363,0,4.0,78,8
364,0,1.5,82,0
365,1,4.0,61,8
366,0,3.5,135,0
367,0,1.5,33,8
368,0,2.0,112,9
369,0,1.5,82,5
370,0,3.5,32,5
371,0,3.5,32,5
372,0,3.0,136,9
373,0,2.5,27,5
374,0,3.5,7,0
225,1,3.0,32,0
169,1,4.0,102,5
375,0,2.5,7,0
17,1,3.0,19,5
376,0,3.5,30,0
377,1,2.0,11,5
169,1,1.5,27,5
378,0,2.0,33,0
379,0,4.0,84,5
380,0,4.0,102,3
381,0,5.0,65,5
382,0,3.0,20,0
383,1,4.5,102,1
17,1,3.5,63,5
384,1,3.5,46,5
4,1,4.0,36,0
21,1,3.0,123,0
4,1,3.0,7,0
225,1,3.5,7,0
385,0,2.5,81,0
21,1,3.0,7,0
228,1,3.0,7,0
386,0,3.0,59,3
387,0,4.5,102,1
388,0,4.0,137,0
389,0,3.0,138,0
390,1,3.0,53,3
391,0,5.0,139,9
392,0,3.0,55,5
393,0,2.0,24,8
394,0,3.5,61,8
395,0,3.5,21,8
291,1,3.5,32,1
396,0,3.5,19,0
397,0,4.0,87,3
398,0,3.5,65,3
238,1,3.5,89,3
399,0,3.5,9,2
169,1,3.0,27,5
291,1,3.0,19,1
400,0,4.0,102,3
291,1,3.0,37,1
401,0,4.0,140,3
402,0,4.5,21,1
403,0,3.5,25,1
404,0,4.0,132,5
238,1,2.5,51,3
405,0,4.0,18,0
406,0,3.0,21,8
407,0,3.0,23,5
231,1,3.0,141,8
408,1,2.0,31,8
409,0,3.5,37,5
410,0,1.5,37,8
411,0,2.5,19,8
412,0,3.5,62,1
413,0,1.5,33,1
414,0,2.0,19,5
165,1,3.0,142,7
415,0,2.5,143,8
416,0,3.5,28,8
417,0,5.0,65,5
418,0,4.0,37,1
419,0,4.5,89,1
420,0,4.0,44,3
421,0,4.0,144,3
283,1,4.0,145,1
228,1,3.0,9,0
422,0,3.5,97,0
21,1,3.0,11,0
423,1,2.5,31,9
123,1,2.5,37,4
424,0,4.0,12,5
17,1,3.0,11,5
149,1,4.5,76,3
425,0,4.0,9,6
426,0,3.5,32,6
427,0,4.5,132,7
34,1,4.0,27,7
428,0,4.0,114,6
429,0,3.5,146,8
430,0,3.5,19,6
225,1,4.5,147,0
116,1,2.0,27,3
431,0,4.0,19,3
165,1,2.5,75,7
432,0,2.5,131,6
116,1,3.5,148,3
433,0,4.5,20,7
434,0,3.5,24,6
435,0,4.0,149,0
436,0,2.5,65,6
437,0,4.5,132,3
271,1,4.0,32,3
291,1,4.0,7,1
438,0,3.0,4,0
78,1,5.0,15,0
439,0,3.0,7,1
440,0,4.5,150,1
441,0,3.5,7,1
291,1,3.5,7,1
291,1,4.5,115,1
221,1,4.0,7,1
442,0,4.0,33,0
443,0,4.0,33,0
67,1,3.5,37,0
444,0,2.5,21,8
445,0,2.5,21,8
446,0,3.0,21,8
447,0,3.0,55,0
291,1,3.5,132,1
283,1,4.0,151,1
448,0,3.0,49,1
449,0,3.0,128,0
450,0,3.0,152,1
451,0,2.0,12,8
452,0,3.0,1,0
291,1,3.5,111,1
28,1,3.5,32,6
453,0,2.0,33,2
454,0,3.0,29,0
82,1,3.5,61,3
82,1,3.0,76,3
455,0,4.0,32,0
38,1,3.0,76,6
456,0,2.5,10,3
457,0,2.0,61,2
458,0,2.0,151,3
116,1,3.5,72,3
116,1,3.0,37,3
28,1,4.0,61,6
459,0,2.5,27,4
460,1,2.0,153,9
461,0,4.0,69,0
462,0,4.0,4,0
463,0,3.5,24,2
225,1,3.5,32,0
464,0,4.0,106,2
465,0,3.5,154,5
466,0,4.0,32,0
467,0,4.0,155,0
468,0,3.0,19,2
469,0,3.5,11,2
470,0,3.0,19,0
471,0,3.5,32,0
472,0,3.5,49,0
473,0,2.0,19,2
474,0,5.0,21,3
475,0,4.0,55,3
476,0,1.0,32,2
477,0,4.0,55,0
478,0,3.5,55,9
229,1,4.5,9,0
106,1,4.0,98,3
479,0,1.0,27,0
178,1,3.0,47,5
480,0,3.0,32,2
481,0,5.0,140,0
482,1,2.5,55,6
483,1,3.0,33,6
484,0,3.5,12,7
377,1,2.5,51,5
485,0,2.5,31,5
39,1,4.0,82,6
13,1,3.0,156,4
28,1,3.5,45,6
21,1,3.5,49,0
486,0,2.5,128,4
487,0,3.0,9,4
488,0,4.0,149,0
169,1,4.0,36,5
384,1,4.5,19,5
228,1,3.5,87,0
489,0,2.5,20,5
490,0,3.5,45,5
169,1,4.0,157,5
491,0,3.0,52,3
390,1,3.5,158,3
492,0,3.5,89,3
229,1,3.5,29,0
493,0,3.5,62,1
494,0,4.0,62,0
78,1,3.5,29,0
495,0,1.5,21,8
4,1,2.5,123,0
496,0,2.5,112,0
497,0,3.5,94,8
498,0,2.5,10,0
499,0,3.0,84,1
500,0,1.5,27,3
501,0,2.0,27,5
502,0,4.0,125,0
503,0,2.5,27,0
504,0,2.5,27,0
505,0,3.0,143,4
506,0,2.5,33,8
507,0,3.5,31,0
508,0,3.5,31,5
509,0,2.0,84,0
510,0,3.0,31,4
13,1,2.0,33,4
511,0,4.5,35,0
512,0,3.0,37,8
513,0,2.5,61,8
165,1,4.0,65,7
514,0,2.5,26,8
515,0,2.5,21,8
516,1,3.5,19,8
516,1,2.5,12,8
517,0,1.5,12,8
54,1,3.5,2,8
231,1,4.0,12,8
54,1,3.0,125,8
518,0,4.0,27,8
516,1,3.5,44,8
519,0,3.5,127,8
520,0,2.0,65,8
521,0,3.5,21,6
522,0,3.5,78,4
523,1,2.5,76,8
523,1,4.0,75,8
291,1,4.0,134,1
524,0,3.5,7,1
231,1,2.5,27,8
525,0,3.0,105,1
7,1,3.0,32,2
526,0,3.5,25,3
527,0,1.5,33,0
528,0,4.0,128,3
338,1,4.5,123,0
54,1,2.5,27,8
516,1,3.5,125,8
529,0,4.5,38,0
54,1,3.0,1,8
530,0,3.0,31,0
516,1,3.5,26,8
531,0,2.5,7,2
225,1,2.5,159,0
116,1,5.0,59,3
116,1,3.5,76,3
532,0,4.0,21,5
533,0,4.5,45,5
165,1,5.0,95,7
534,1,4.5,76,1
116,1,2.5,30,3
535,0,3.0,160,0
536,0,4.0,24,0
78,1,2.5,24,0
537,0,2.0,32,8
538,1,2.5,12,8
18,1,3.5,127,6
539,0,2.0,27,4
540,0,3.5,33,4
541,0,4.0,92,4
231,1,2.0,27,8
542,0,2.5,156,4
543,0,4.5,18,8
544,0,3.0,25,4
291,1,2.0,31,1
291,1,2.5,20,1
62,1,4.0,150,0
545,0,4.0,4,0
225,1,4.5,32,0
291,1,3.0,161,1
546,0,3.0,17,3
547,0,4.0,124,0
548,0,3.5,24,3
549,0,3.5,19,1
291,1,3.0,69,1
78,1,3.5,162,0
460,1,4.5,101,9
550,1,3.5,42,6
551,0,4.0,125,3
552,0,4.0,34,8
553,0,3.0,63,0
554,0,5.0,55,3
225,1,4.0,163,0
555,0,4.0,32,3
390,1,4.0,45,3
556,0,5.0,19,8
557,0,3.0,71,8
558,0,3.5,11,8
559,0,3.5,164,1
560,0,1.5,83,0
561,0,3.0,24,4
562,0,1.5,19,2
563,0,2.0,65,2
564,0,4.0,1,3
565,0,2.5,32,5
566,0,4.0,13,0
291,1,2.5,62,1
567,0,4.0,19,8
238,1,4.0,165,3
238,1,2.5,23,3
568,0,3.5,19,0
78,1,4.0,69,0
291,1,3.0,91,1
460,1,1.5,27,9
460,1,3.5,76,9
569,0,3.5,10,1
570,0,5.0,55,0
571,0,4.0,19,1
572,0,1.0,63,1
13,1,3.0,37,4
13,1,2.5,32,4
573,0,4.5,166,2
574,0,2.0,29,4
575,0,3.0,10,4
576,0,4.0,32,4
577,0,4.0,32,4
29,1,4.0,70,6
578,0,4.5,121,2
579,0,4.0,19,4
580,0,4.0,47,6
581,0,3.0,7,0
7,1,1.0,111,2
28,1,3.0,27,6
582,0,4.0,92,6
225,1,3.0,4,0
583,1,3.0,22,6
583,1,4.0,78,6
583,1,3.0,49,6
584,1,2.5,12,7
585,1,4.0,2,7
586,0,2.5,36,7
460,1,3.5,63,9
587,0,4.0,125,0
538,1,3.5,167,8
384,1,3.5,37,5
588,0,3.5,34,8
589,0,4.0,32,3
590,0,3.5,12,7
591,0,4.0,11,7
592,0,3.5,12,3
593,0,3.0,111,3
594,0,4.0,24,0
283,1,3.5,105,1
595,0,3.5,111,1
596,0,4.0,46,0
597,0,3.0,69,3
598,0,5.0,21,8
599,0,2.0,31,3
584,1,4.0,168,7
165,1,2.5,27,7
600,0,3.5,48,1
601,0,3.0,117,1
165,1,3.5,105,7
165,1,4.5,31,7
225,1,3.5,46,0
602,0,4.0,117,0
603,0,3.0,28,3
604,0,4.0,47,8
605,0,4.0,142,8
606,0,3.0,44,0
607,0,3.5,28,0
608,0,3.0,4,0
609,0,1.5,27,0
116,1,3.0,76,3
610,0,2.0,81,2
611,0,2.0,10,3
4,1,4.0,123,0
612,0,2.0,112,5
613,0,3.5,111,7
614,0,3.5,16,0
615,0,4.0,29,5
165,1,4.0,169,7
616,0,3.0,19,5
617,0,3.5,1,1
283,1,4.0,7,1
283,1,4.0,161,1
618,0,4.0,168,5
619,0,3.5,151,3
620,0,2.5,26,1
21,1,3.0,31,0
621,0,4.0,50,0
622,0,3.5,96,3
623,0,3.0,107,1
624,0,3.0,42,0
221,1,3.5,100,1
625,0,2.0,127,9
626,0,4.5,12,9
21,1,2.5,92,0
627,0,4.5,150,4
628,0,4.0,32,3
629,0,2.5,92,5
29,1,4.0,19,6
630,0,3.5,24,4
631,0,2.5,29,2
632,0,4.0,21,9
633,0,3.5,25,4
634,0,4.0,123,0
635,1,3.5,158,3
636,0,4.5,12,3
29,1,4.0,92,6
637,0,4.0,32,3
225,1,4.0,29,0
638,0,3.5,136,0
639,0,3.0,27,9
640,0,2.0,97,3
460,1,3.0,59,9
641,0,4.0,18,3
62,1,4.0,7,0
642,0,4.5,55,5
643,0,2.5,21,1
644,0,4.5,63,0
377,1,4.0,46,5
645,0,3.0,61,5
178,1,2.5,57,5
646,0,4.5,7,2
647,0,2.5,26,5
648,0,3.0,29,5
649,0,4.5,59,5
538,1,2.0,41,8
650,0,4.0,46,6
651,0,2.0,31,8
54,1,3.0,23,8
652,0,3.5,19,8
123,1,4.5,88,4
653,0,4.5,170,1
408,1,3.5,26,8
654,0,3.0,84,7
655,0,1.5,27,6
656,0,4.5,169,1
657,0,3.0,19,8
658,0,2.0,27,8
659,0,2.0,37,8
116,1,4.0,171,3
660,0,3.0,49,6
661,0,2.0,19,8
662,0,3.0,20,8
663,0,3.5,27,3
664,0,4.5,21,8
665,0,2.0,27,8
666,0,1.5,37,8
28,1,2.0,76,6
667,0,3.0,33,8
668,0,3.5,33,8
125,1,2.0,92,4
126,1,2.5,23,4
669,0,3.0,32,4
4,1,3.5,100,0
670,0,3.0,100,5
671,0,2.0,31,6
672,0,3.5,32,5
673,0,4.0,21,3
38,1,2.5,76,6
28,1,3.5,76,6
674,0,3.0,47,4
675,0,3.5,104,5
676,0,4.0,172,0
677,0,4.0,114,0
678,0,3.0,132,0
679,1,4.5,15,0
228,1,3.0,29,0
680,0,3.5,16,0
681,0,2.5,37,0
682,0,4.0,169,0
683,0,3.0,112,0
684,0,4.0,50,0
685,0,2.5,15,5
686,0,4.5,103,9
687,1,4.0,19,5
688,0,3.0,124,2
687,1,3.0,59,5
689,0,4.0,35,9
690,0,5.0,67,9
138,1,3.0,24,9
228,1,3.5,14,0
225,1,3.0,9,0
225,1,2.5,37,0
691,0,2.0,84,4
692,0,4.0,106,0
693,0,4.0,111,3
694,0,5.0,21,3
695,0,3.5,24,3
696,0,4.0,117,0
697,0,3.5,111,3
229,1,3.5,24,0
698,0,4.0,134,1
34,1,4.0,173,7
116,1,3.5,174,3
106,1,3.5,174,3
271,1,3.5,87,3
699,0,3.5,57,5
700,0,4.0,175,0
701,0,3.5,114,0
702,0,4.0,9,0
703,0,2.0,92,0
704,0,2.5,26,7
705,0,3.5,26,4
125,1,4.0,87,4
28,1,4.0,101,6
706,0,2.0,84,4
707,1,3.0,19,6
708,0,1.5,75,8
709,1,4.0,61,8
165,1,2.5,33,7
710,0,4.0,172,0
711,0,2.5,15,3
516,1,3.5,36,8
231,1,3.5,24,8
423,1,2.5,61,9
712,0,5.0,60,4
713,0,3.5,65,0
714,0,3.0,21,3
715,0,3.5,76,1
716,0,4.5,37,9
717,0,3.0,19,1
718,0,2.5,9,9
719,0,3.0,131,6
197,1,3.0,36,9
720,0,5.0,65,1
721,0,2.0,73,6
722,0,3.5,65,1
723,0,4.0,75,3
724,0,3.0,55,8
725,0,4.0,15,3
408,1,3.0,56,8
726,0,3.5,37,8
727,0,2.5,127,0
728,0,3.0,73,0
729,0,3.0,73,8
635,1,3.5,37,3
730,0,3.0,136,2
731,0,3.5,73,0
732,0,3.0,26,8
733,0,4.0,176,0
635,1,4.5,157,3
225,1,3.5,159,0
734,0,4.0,24,1
229,1,4.0,157,0
583,1,4.5,142,6
735,0,3.0,24,3
736,0,4.0,32,0
737,0,3.0,105,7
738,0,4.0,152,8
739,0,1.0,55,3
740,0,3.5,12,0
741,0,4.0,84,3
742,0,2.0,27,6
743,0,3.0,177,1
291,1,4.0,161,1
744,0,4.0,27,3
116,1,4.5,174,3
679,1,4.0,47,0
745,0,3.5,36,3
746,0,2.0,136,6
747,0,3.5,4,3
13,1,3.5,28,4
748,0,2.5,27,4
749,0,3.5,9,4
550,1,2.5,29,6
550,1,2.0,69,6
750,0,4.0,178,3
291,1,5.0,59,1
116,1,4.0,72,3
116,1,3.0,45,3
751,0,4.5,102,1
197,1,3.5,30,9
752,0,3.5,12,0
753,0,4.0,31,0
754,0,4.5,23,1
238,1,3.0,72,3
21,1,3.5,45,0
755,0,4.0,125,0
756,0,1.5,75,1
757,0,1.5,21,1
758,0,3.0,32,8
759,0,4.0,21,8
760,0,3.5,131,8
761,0,4.0,106,8
516,1,4.5,47,8
762,0,4.5,155,3
763,0,4.5,26,0
764,0,4.5,131,8
765,0,1.5,19,9
766,0,3.5,18,9
767,0,4.5,106,8
768,0,5.0,26,8
769,0,4.0,114,0
770,0,3.0,10,8
771,0,4.0,21,8
772,0,4.5,21,8
54,1,4.0,7,8
773,0,4.0,163,0
774,0,4.5,11,3
775,0,1.5,27,8
776,0,3.5,48,8
777,0,5.0,21,8
778,0,2.5,21,4
779,0,2.5,55,3
780,0,4.5,38,0
28,1,4.0,29,6
106,1,4.0,103,3
165,1,3.5,51,7
781,0,3.5,32,0
782,0,5.0,121,2
482,1,3.5,133,6
483,1,4.0,36,6
783,0,4.0,36,0
92,1,3.5,179,4
784,0,3.5,9,0
785,0,4.0,21,6
583,1,4.0,157,6
786,0,4.5,82,5
22,1,4.5,180,0
787,0,2.5,92,8
125,1,2.5,32,4
788,0,4.0,9,4
789,0,3.5,62,5
790,0,4.0,114,0
229,1,2.5,9,0
791,0,3.0,7,0
792,0,3.5,51,0
793,0,1.5,33,0
794,0,3.5,38,0
795,0,4.5,23,0
796,0,5.0,139,0
797,0,4.0,76,0
798,0,3.0,48,0
799,0,4.0,181,0
800,0,4.5,21,0
221,1,4.0,182,1
78,1,3.0,13,0
801,0,3.0,4,5
802,0,3.5,183,1
225,1,3.0,24,0
271,1,3.0,143,3
803,0,4.0,51,2
804,0,3.0,161,2
805,0,3.0,4,6
806,0,3.5,184,6
807,0,1.5,185,6
18,1,3.0,42,6
138,1,3.0,32,9
808,0,4.5,38,4
225,1,3.5,162,0
809,0,2.0,73,8
810,0,3.0,186,1
228,1,3.5,24,0
811,0,4.0,7,1
812,0,3.0,7,3
169,1,2.0,95,5
813,0,3.0,92,5
687,1,2.5,69,5
814,0,3.5,123,0
815,0,2.5,136,9
291,1,4.0,128,1
