Location_id,Item_id,POI_Type,User_id,Latitude,Longitude,Time,Date,POI,Category,name,stars,L2_Category_name,clusters,L1_Category_name,L1_Category,counts,new_time
23,20,0,2,35.152989,-80.836863,23:18:04,2013812,Independent,Hotel Bar,Renaissance Charlotte SouthPark Hotel,4.0,16,3,4,Travel & Transport,3,23
24,21,1,3,35.225244,-80.842004,0:19:22,2013128,Combined,Bowling Alley,StrikeCity,3.0,17,0,0,Arts & Entertainment,3,0
25,22,1,3,35.227234,-80.838711,0:19:44,2013128,Combined,BBQ Joint,Queen City Q,3.5,18,0,2,Food,3,0
26,23,1,3,35.147615,-80.82996899999998,0:20:24,2013128,Combined,Grocery Store,Whole Foods Market - Charlotte,4.0,19,3,5,Shop & Service,3,0
0,0,0,3,35.225884,-80.85289499999998,21:51:35,2013130,Independent,Football Stadium,Bank of America Stadium,4.0,0,0,0,Arts & Entertainment,2,21
27,24,0,3,35.22454600000001,-80.88892299999998,21:56:30,2013130,Independent,BBQ Joint,Bar-B-Q King,3.5,18,0,2,Food,2,21
28,25,0,4,35.086449,-80.889071,11:40:25,20121012,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,2,11
29,26,0,4,35.136701,-80.937797,11:52:34,20121012,Independent,Automotive Shop,NTB - National Tire & Battery,2.5,21,4,5,Shop & Service,2,11
30,27,0,4,35.042390999999995,-80.84751700000002,14:49:33,20121031,Independent,Drugstore / Pharmacy,Walgreens,2.5,11,6,5,Shop & Service,3,14
28,25,0,4,35.086449,-80.889071,15:04:03,20121031,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,3,15
31,28,1,4,35.082128999999995,-80.876713,15:16:25,20121031,Combined,Mall,Carolina Place Mall,3.5,22,6,5,Shop & Service,3,15
28,25,0,4,35.086449,-80.889071,19:13:07,20121116,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,2,19
32,29,1,4,35.08673,-80.847101,19:38:56,20121116,Combined,Pet Store,Pet Supplies Plus,4.0,23,6,5,Shop & Service,2,19
33,7,1,4,35.224246,-80.940303,0:59:33,20121121,Combined,Mexican Restaurant,Salsarita's Express,2.5,24,2,2,Food,2,0
33,7,1,4,35.224246,-80.940303,0:59:50,20121121,Combined,Mexican Restaurant,Salsarita's Express,2.5,24,2,2,Food,2,0
34,30,0,4,35.085959,-80.886824,17:52:06,20121124,Independent,Diner,The Dive N,4.5,25,6,2,Food,3,17
28,25,0,4,35.086449,-80.889071,18:27:14,20121124,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,3,18
35,18,1,4,35.088815000000004,-80.860057,18:47:14,20121124,Combined,Grocery Store,Dollar Tree,3.5,19,6,5,Shop & Service,3,18
28,25,0,4,35.086449,-80.889071,19:05:34,20121130,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,2,19
36,31,0,4,35.090421,-80.85618199999998,23:16:47,20121130,Independent,Hardware Store,Lowe's Home Improvement Warehouse Stores,2.0,26,6,5,Shop & Service,2,23
28,25,0,4,35.086449,-80.889071,6:28:48,20121207,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,2,6
37,32,0,4,35.112661,-80.920576,17:17:03,20121207,Independent,Fast Food Restaurant,Jack In the Box,2.5,27,4,2,Food,2,17
38,33,0,4,35.13878,-80.87779300000003,0:31:28,20121209,Independent,Chinese Restaurant,Fortune Garden,3.5,28,3,2,Food,3,0
32,29,1,4,35.08673,-80.847101,18:09:35,20121209,Combined,Pet Store,Pet Supplies Plus,4.0,23,6,5,Shop & Service,3,18
39,34,1,4,35.058819,-80.81559200000002,23:52:11,20121209,Combined,Grocery Store,Target,3.5,19,7,5,Shop & Service,3,23
34,30,0,4,35.085959,-80.886824,18:34:35,20121215,Independent,Diner,The Dive N,4.5,25,6,2,Food,2,18
40,35,0,4,35.074293,-80.877539,20:22:08,20121215,Independent,Grocery Store,BJ's Wholesale Club,3.5,19,6,5,Shop & Service,2,20
41,36,1,4,35.053292,-80.848558,18:28:10,2012404,Combined,Grocery Store,Harris Teeter,4.0,19,6,5,Shop & Service,3,18
36,31,0,4,35.090421,-80.85618199999998,19:16:57,2012404,Independent,Hardware Store,Lowe's Home Improvement Warehouse Stores,2.0,26,6,5,Shop & Service,3,19
28,25,0,4,35.086449,-80.889071,19:23:05,2012404,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,3,19
42,7,1,4,35.220319,-80.943596,10:10:45,2012405,Combined,Fast Food Restaurant,Chili's Too!,2.5,27,2,2,Food,2,10
43,7,1,4,35.22045,-80.943747,10:11:41,2012405,Combined,Sandwich Place,Burger King,2.0,29,2,2,Food,2,10
34,30,0,4,35.085959,-80.886824,4:48:08,2012411,Independent,Diner,The Dive N,4.5,25,6,2,Food,2,4
28,25,0,4,35.086449,-80.889071,4:48:28,2012411,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,2,4
44,37,0,4,35.094817,-80.876631,0:15:31,2012413,Independent,Pet Store,Petsmart,4.0,23,6,5,Shop & Service,3,0
45,38,1,4,35.10671,-80.877528,16:53:57,2012413,Combined,Shoe Store,DSW Designer Shoe Warehouse,3.0,30,6,5,Shop & Service,3,16
45,38,1,4,35.10671,-80.877528,16:54:18,2012413,Combined,Shoe Store,DSW Designer Shoe Warehouse,3.0,30,6,5,Shop & Service,3,16
34,30,0,4,35.085959,-80.886824,16:09:21,2012414,Independent,Diner,The Dive N,4.5,25,6,2,Food,4,16
46,39,1,4,35.08744,-80.877847,17:00:13,2012414,Combined,Bank,Wells Fargo Bank,2.0,31,6,5,Shop & Service,4,17
44,37,0,4,35.094817,-80.876631,17:05:01,2012414,Independent,Pet Store,Petsmart,4.0,23,6,5,Shop & Service,4,17
28,25,0,4,35.086449,-80.889071,17:53:55,2012414,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,4,17
47,7,1,4,35.22026599999999,-80.944541,16:40:37,2012417,Combined,American Restaurant,Genghis Grill,2.5,32,2,2,Food,2,16
47,7,1,4,35.22026599999999,-80.944541,16:41:01,2012417,Combined,American Restaurant,Genghis Grill,2.5,32,2,2,Food,2,16
36,31,0,4,35.090421,-80.85618199999998,16:23:37,2012422,Independent,Hardware Store,Lowe's Home Improvement Warehouse Stores,2.0,26,6,5,Shop & Service,2,16
48,40,0,4,35.087115999999995,-80.849719,17:06:51,2012422,Independent,Burger Joint,McDonald's,2.0,33,6,2,Food,2,17
28,25,0,4,35.086449,-80.889071,14:14:08,2012423,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,6,14
46,39,1,4,35.08744,-80.877847,14:30:49,2012423,Combined,Bank,Wells Fargo Bank,2.0,31,6,5,Shop & Service,6,14
44,37,0,4,35.094817,-80.876631,14:31:22,2012423,Independent,Pet Store,Petsmart,4.0,23,6,5,Shop & Service,6,14
49,41,0,4,35.13431,-80.893661,14:53:14,2012423,Independent,Government Building,DMV,2.0,34,4,6,Professional & Other Places,6,14
50,38,1,4,35.105814,-80.880052,15:10:50,2012423,Combined,Grocery Store,Dollar Tree,3.5,19,6,5,Shop & Service,6,15
51,38,1,4,35.107286,-80.88046800000002,15:27:04,2012423,Combined,Burger Joint,McDonald's,1.5,33,6,2,Food,6,15
28,25,0,4,35.086449,-80.889071,9:40:05,2012429,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,2,9
52,42,0,4,35.056533,-80.813948,20:54:44,2012429,Independent,Church,Saint Matthew Catholic Church,4.0,35,7,6,Professional & Other Places,2,20
52,42,0,4,35.056533,-80.813948,21:00:36,2012506,Independent,Church,Saint Matthew Catholic Church,4.0,35,7,6,Professional & Other Places,2,21
53,43,0,4,35.079601000000004,-80.828905,23:18:25,2012506,Independent,Italian Restaurant,Riccio's Italian Restaurant,4.0,36,7,2,Food,2,23
54,44,0,4,35.088211,-80.88663000000003,17:03:09,2012509,Independent,Automotive Shop,Stacy Holloway-Hair,5.0,21,6,5,Shop & Service,3,17
28,25,0,4,35.086449,-80.889071,17:47:45,2012509,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,3,17
55,39,1,4,35.086628999999995,-80.879738,18:19:00,2012509,Combined,Paper / Office Supplies Store,Office Depot,3.0,13,6,5,Shop & Service,3,18
56,45,0,4,35.055775,-80.85324,1:22:06,2012512,Independent,Burger Joint,Five Guys Burgers and Fries,4.0,33,6,2,Food,5,1
57,46,0,4,35.090466,-80.869519,17:13:45,2012512,Independent,Fast Food Restaurant,Wendy's,2.0,27,6,2,Food,5,17
28,25,0,4,35.086449,-80.889071,18:04:27,2012512,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,5,18
58,47,0,4,35.092536,-80.88549300000003,18:13:14,2012512,Independent,Hardware Store,Harbor Freight Tools,4.0,26,6,5,Shop & Service,5,18
36,31,0,4,35.090421,-80.85618199999998,21:25:46,2012512,Independent,Hardware Store,Lowe's Home Improvement Warehouse Stores,2.0,26,6,5,Shop & Service,5,21
59,48,0,4,35.089451000000004,-80.86871500000002,19:13:28,2012516,Independent,Burger Joint,McDonald's,1.5,33,6,2,Food,2,19
28,25,0,4,35.086449,-80.889071,19:33:48,2012516,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,2,19
28,25,0,4,35.086449,-80.889071,19:48:17,2012517,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,2,19
41,36,1,4,35.053292,-80.848558,20:41:43,2012517,Combined,Grocery Store,Harris Teeter,4.0,19,6,5,Shop & Service,2,20
28,25,0,4,35.086449,-80.889071,3:17:59,2012529,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,2,3
28,25,0,4,35.086449,-80.889071,19:21:47,2012529,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,2,19
60,49,0,4,35.090482,-80.869163,1:39:41,2012603,Independent,Pizza Place,Cicis,3.0,37,6,2,Food,2,1
52,42,0,4,35.056533,-80.813948,20:58:23,2012603,Independent,Church,Saint Matthew Catholic Church,4.0,35,7,6,Professional & Other Places,2,20
54,44,0,4,35.088211,-80.88663000000003,17:10:59,2012606,Independent,Automotive Shop,Stacy Holloway-Hair,5.0,21,6,5,Shop & Service,3,17
37,32,0,4,35.112661,-80.920576,18:43:17,2012606,Independent,Fast Food Restaurant,Jack In the Box,2.5,27,4,2,Food,3,18
28,25,0,4,35.086449,-80.889071,20:19:42,2012606,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,3,20
28,25,0,4,35.086449,-80.889071,19:54:52,2012607,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,2,19
44,37,0,4,35.094817,-80.876631,20:01:15,2012607,Independent,Pet Store,Petsmart,4.0,23,6,5,Shop & Service,2,20
28,25,0,4,35.086449,-80.889071,17:57:27,2012609,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,2,17
61,50,0,4,35.064718,-80.740521,22:36:56,2012609,Independent,Park,Colonel Francis Beatty Park,4.0,38,7,7,Outdoors & Recreation,2,22
41,36,1,4,35.053292,-80.848558,20:43:27,2012612,Combined,Grocery Store,Harris Teeter,4.0,19,6,5,Shop & Service,3,20
28,25,0,4,35.086449,-80.889071,21:35:57,2012612,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,3,21
44,37,0,4,35.094817,-80.876631,21:52:14,2012612,Independent,Pet Store,Petsmart,4.0,23,6,5,Shop & Service,3,21
62,51,0,4,35.14941,-80.896589,7:06:47,2012627,Independent,Fast Food Restaurant,Burger King,1.5,27,4,2,Food,2,7
63,52,1,4,35.163301000000004,-80.887635,7:07:41,2012627,Combined,Fast Food Restaurant,McDonald's,2.5,27,3,2,Food,2,7
40,35,0,4,35.074293,-80.877539,17:53:52,2012708,Independent,Grocery Store,BJ's Wholesale Club,3.5,19,6,5,Shop & Service,3,17
28,25,0,4,35.086449,-80.889071,17:58:24,2012708,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,3,17
41,36,1,4,35.053292,-80.848558,18:21:45,2012708,Combined,Grocery Store,Harris Teeter,4.0,19,6,5,Shop & Service,3,18
64,53,0,4,35.054269,-80.84646500000002,14:03:36,2012722,Independent,Automotive Shop,Firestone Complete Auto Care,2.0,21,6,5,Shop & Service,2,14
41,36,1,4,35.053292,-80.848558,14:04:59,2012722,Combined,Grocery Store,Harris Teeter,4.0,19,6,5,Shop & Service,2,14
64,53,0,4,35.054269,-80.84646500000002,16:52:33,2012729,Independent,Automotive Shop,Firestone Complete Auto Care,2.0,21,6,5,Shop & Service,2,16
52,42,0,4,35.056533,-80.813948,21:05:34,2012729,Independent,Church,Saint Matthew Catholic Church,4.0,35,7,6,Professional & Other Places,2,21
65,34,1,4,35.059244,-80.813643,0:27:29,2012812,Combined,Ramen /  Noodle House,Nothing But Noodles,3.5,39,7,2,Food,3,0
28,25,0,4,35.086449,-80.889071,20:11:50,2012812,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,3,20
36,31,0,4,35.090421,-80.85618199999998,22:36:58,2012812,Independent,Hardware Store,Lowe's Home Improvement Warehouse Stores,2.0,26,6,5,Shop & Service,3,22
34,30,0,4,35.085959,-80.886824,17:52:14,2013104,Independent,Diner,The Dive N,4.5,25,6,2,Food,2,17
34,30,0,4,35.085959,-80.886824,17:52:25,2013104,Independent,Diner,The Dive N,4.5,25,6,2,Food,2,17
28,25,0,4,35.086449,-80.889071,18:13:45,2013112,Independent,Post Office,U S Post Office,2.5,20,6,6,Professional & Other Places,3,18
32,29,1,4,35.08673,-80.847101,19:26:59,2013112,Combined,Pet Store,Pet Supplies Plus,4.0,23,6,5,Shop & Service,3,19
66,54,1,4,35.130752,-80.711596,20:24:00,2013112,Combined,Music Store,Guitar Center,3.0,40,8,5,Shop & Service,3,20
67,55,0,4,35.057838000000004,-80.850577,19:46:01,2013227,Independent,Bank,Wells Fargo Bank,2.0,31,6,5,Shop & Service,3,19
68,56,0,4,35.091303,-80.845414,19:53:09,2013227,Independent,Post Office,US Post Office,3.5,20,6,6,Professional & Other Places,3,19
69,39,1,4,35.089039,-80.87854399999998,20:07:04,2013227,Combined,Electronics Store,Best Buy - Pineville,2.5,41,6,5,Shop & Service,3,20
70,7,1,5,35.218605,-80.94241600000002,12:04:41,2012409,Combined,Coffee Shop,Starbucks,2.0,12,2,2,Food,5,12
71,7,1,5,35.218093,-80.942245,12:06:00,2012409,Combined,Seafood Restaurant,Phillips Seafood,2.5,42,2,2,Food,5,12
72,57,0,5,35.213771,-80.94331700000002,14:31:50,2012409,Independent,Plane,Charlotte International Airport Parking,3.0,43,2,4,Travel & Transport,5,14
73,7,1,5,35.219276,-80.942545,15:45:07,2012409,Combined,Burger Joint,Bad Daddy's Burger Bar,3.0,33,2,2,Food,5,15
74,7,1,5,35.220217,-80.943687,15:46:09,2012409,Combined,Mexican Restaurant,Tequileria,2.0,24,2,2,Food,5,15
72,57,0,5,35.213771,-80.94331700000002,10:24:25,2012410,Independent,Plane,Charlotte International Airport Parking,3.0,43,2,4,Travel & Transport,3,10
74,7,1,5,35.220217,-80.943687,15:02:38,2012410,Combined,Mexican Restaurant,Tequileria,2.0,24,2,2,Food,3,15
43,7,1,5,35.22045,-80.943747,15:02:58,2012410,Combined,Sandwich Place,Burger King,2.0,29,2,2,Food,3,15
70,7,1,5,35.218605,-80.94241600000002,11:00:15,2012411,Combined,Coffee Shop,Starbucks,2.0,12,2,2,Food,2,11
72,57,0,5,35.213771,-80.94331700000002,16:18:21,2012411,Independent,Plane,Charlotte International Airport Parking,3.0,43,2,4,Travel & Transport,2,16
70,7,1,5,35.218605,-80.94241600000002,18:02:18,2012412,Combined,Coffee Shop,Starbucks,2.0,12,2,2,Food,2,18
71,7,1,5,35.218093,-80.942245,18:02:43,2012412,Combined,Seafood Restaurant,Phillips Seafood,2.5,42,2,2,Food,2,18
75,7,1,5,35.220085,-80.943374,0:27:44,2012413,Combined,Mexican Restaurant,Tequileria,2.0,24,2,2,Food,2,0
72,57,0,5,35.213771,-80.94331700000002,0:28:43,2012413,Independent,Plane,Charlotte International Airport Parking,3.0,43,2,4,Travel & Transport,2,0
10,7,1,5,35.218242,-80.945463,10:22:19,2012505,Combined,Fried Chicken Joint,Bojangles' Famous Chicken 'n Biscuits,3.5,10,2,2,Food,5,10
76,7,1,5,35.218058,-80.94519,10:23:31,2012505,Combined,Coffee Shop,Starbucks,3.0,12,2,2,Food,5,10
75,7,1,5,35.220085,-80.943374,14:37:45,2012505,Combined,Mexican Restaurant,Tequileria,2.0,24,2,2,Food,5,14
77,7,1,5,35.224425,-80.94063,15:26:22,2012505,Combined,Coffee Shop,Starbucks,3.5,12,2,2,Food,5,15
42,7,1,5,35.220319,-80.943596,15:26:42,2012505,Combined,Fast Food Restaurant,Chili's Too!,2.5,27,2,2,Food,5,15
71,7,1,5,35.218093,-80.942245,14:03:57,2012511,Combined,Seafood Restaurant,Phillips Seafood,2.5,42,2,2,Food,6,14
42,7,1,5,35.220319,-80.943596,18:14:18,2012511,Combined,Fast Food Restaurant,Chili's Too!,2.5,27,2,2,Food,6,18
74,7,1,5,35.220217,-80.943687,18:14:41,2012511,Combined,Mexican Restaurant,Tequileria,2.0,24,2,2,Food,6,18
75,7,1,5,35.220085,-80.943374,18:14:59,2012511,Combined,Mexican Restaurant,Tequileria,2.0,24,2,2,Food,6,18
75,7,1,5,35.220085,-80.943374,18:15:32,2012511,Combined,Mexican Restaurant,Tequileria,2.0,24,2,2,Food,6,18
78,7,1,5,35.220398,-80.943511,18:15:45,2012511,Combined,Coffee Shop,Starbucks,2.5,12,2,2,Food,6,18
72,57,0,5,35.213771,-80.94331700000002,19:34:35,2012516,Independent,Plane,Charlotte International Airport Parking,3.0,43,2,4,Travel & Transport,2,19
42,7,1,5,35.220319,-80.943596,20:06:16,2012516,Combined,Fast Food Restaurant,Chili's Too!,2.5,27,2,2,Food,2,20
72,57,0,5,35.213771,-80.94331700000002,11:49:40,2012521,Independent,Plane,Charlotte International Airport Parking,3.0,43,2,4,Travel & Transport,5,11
43,7,1,5,35.22045,-80.943747,19:09:37,2012521,Combined,Sandwich Place,Burger King,2.0,29,2,2,Food,5,19
79,58,0,5,35.170665,-80.961912,19:13:12,2012521,Independent,Drugstore / Pharmacy,CVS Pharmacy,3.5,11,4,5,Shop & Service,5,19
80,7,1,5,35.220442,-80.940163,20:23:59,2012521,Combined,Bar,Carolina Beer Company,2.0,7,2,1,Nightlife Spot,5,20
81,7,1,5,35.22045,-80.94001300000002,21:28:40,2012521,Combined,Bagel Shop,The Great American Bagel Bakery,2.0,44,2,2,Food,5,21
70,7,1,5,35.218605,-80.94241600000002,22:48:03,2012529,Combined,Coffee Shop,Starbucks,2.0,12,2,2,Food,3,22
72,57,0,5,35.213771,-80.94331700000002,22:52:03,2012529,Independent,Plane,Charlotte International Airport Parking,3.0,43,2,4,Travel & Transport,3,22
71,7,1,5,35.218093,-80.942245,22:53:01,2012529,Combined,Seafood Restaurant,Phillips Seafood,2.5,42,2,2,Food,3,22
72,57,0,5,35.213771,-80.94331700000002,1:10:28,2012530,Independent,Plane,Charlotte International Airport Parking,3.0,43,2,4,Travel & Transport,3,1
33,7,1,5,35.224246,-80.940303,1:11:07,2012530,Combined,Mexican Restaurant,Salsarita's Express,2.5,24,2,2,Food,3,1
43,7,1,5,35.22045,-80.943747,1:57:28,2012530,Combined,Sandwich Place,Burger King,2.0,29,2,2,Food,3,1
33,7,1,5,35.224246,-80.940303,13:34:50,2012605,Combined,Mexican Restaurant,Salsarita's Express,2.5,24,2,2,Food,3,13
42,7,1,5,35.220319,-80.943596,13:35:09,2012605,Combined,Fast Food Restaurant,Chili's Too!,2.5,27,2,2,Food,3,13
75,7,1,5,35.220085,-80.943374,13:35:33,2012605,Combined,Mexican Restaurant,Tequileria,2.0,24,2,2,Food,3,13
72,57,0,5,35.213771,-80.94331700000002,9:55:41,2012606,Independent,Plane,Charlotte International Airport Parking,3.0,43,2,4,Travel & Transport,3,9
71,7,1,5,35.218093,-80.942245,9:57:00,2012606,Combined,Seafood Restaurant,Phillips Seafood,2.5,42,2,2,Food,3,9
10,7,1,5,35.218242,-80.945463,10:20:37,2012606,Combined,Fried Chicken Joint,Bojangles' Famous Chicken 'n Biscuits,3.5,10,2,2,Food,3,10
75,7,1,5,35.220085,-80.943374,23:18:20,2012607,Combined,Mexican Restaurant,Tequileria,2.0,24,2,2,Food,3,23
75,7,1,5,35.220085,-80.943374,23:19:15,2012607,Combined,Mexican Restaurant,Tequileria,2.0,24,2,2,Food,3,23
72,57,0,5,35.213771,-80.94331700000002,23:20:04,2012607,Independent,Plane,Charlotte International Airport Parking,3.0,43,2,4,Travel & Transport,3,23
81,7,1,5,35.22045,-80.94001300000002,0:10:31,2012608,Combined,Bagel Shop,The Great American Bagel Bakery,2.0,44,2,2,Food,2,0
80,7,1,5,35.220442,-80.940163,0:11:10,2012608,Combined,Bar,Carolina Beer Company,2.0,7,2,1,Nightlife Spot,2,0
72,57,0,5,35.213771,-80.94331700000002,13:48:33,2012615,Independent,Plane,Charlotte International Airport Parking,3.0,43,2,4,Travel & Transport,4,13
82,7,1,5,35.220376,-80.941048,14:14:22,2012615,Combined,Dessert Shop,Pinkberry,3.0,45,2,2,Food,4,14
80,7,1,5,35.220442,-80.940163,14:14:53,2012615,Combined,Bar,Carolina Beer Company,2.0,7,2,1,Nightlife Spot,4,14
72,57,0,5,35.213771,-80.94331700000002,14:16:02,2012615,Independent,Plane,Charlotte International Airport Parking,3.0,43,2,4,Travel & Transport,4,14
75,7,1,5,35.220085,-80.943374,10:29:15,2012618,Combined,Mexican Restaurant,Tequileria,2.0,24,2,2,Food,4,10
42,7,1,5,35.220319,-80.943596,10:29:49,2012618,Combined,Fast Food Restaurant,Chili's Too!,2.5,27,2,2,Food,4,10
83,59,0,5,35.228437,-80.92397199999998,16:10:43,2012618,Independent,Fast Food Restaurant,KFC,2.5,27,2,2,Food,4,16
84,60,0,5,35.229005,-80.925912,16:36:03,2012618,Independent,Fried Chicken Joint,Bojangles' Famous Chicken 'n Biscuits,3.0,10,2,2,Food,4,16
72,57,0,5,35.213771,-80.94331700000002,10:25:47,2012619,Independent,Plane,Charlotte International Airport Parking,3.0,43,2,4,Travel & Transport,2,10
71,7,1,5,35.218093,-80.942245,10:26:20,2012619,Combined,Seafood Restaurant,Phillips Seafood,2.5,42,2,2,Food,2,10
72,57,0,5,35.213771,-80.94331700000002,10:55:38,2012627,Independent,Plane,Charlotte International Airport Parking,3.0,43,2,4,Travel & Transport,2,10
71,7,1,5,35.218093,-80.942245,10:57:08,2012627,Combined,Seafood Restaurant,Phillips Seafood,2.5,42,2,2,Food,2,10
